ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
7.355,-0.574,5.784,1.0,7.686483,-0.41246527,5.560847,0.20451689,-0.31453472,0.14615297,-0.08860674,-0.44648772,-0.12627359,2017-07-19 22:31:12,44.08400817848718
7.585,-0.268,5.631,1.0,7.8031917,-0.2708917,5.589484,-0.14219189,-0.073108315,-0.15048409,-0.07190978,-0.45142207,-0.10935729,2017-07-19 22:31:13,40.16721726781085
7.508,-0.421,6.091,1.0,7.611883,-0.38512102,5.748203,0.12611675,-0.07387897,-0.11720276,-0.08081091,-0.43863243,-0.11748042,2017-07-19 22:31:14,41.61006958987424
7.623,-0.421,5.478,1.0,7.6474195,-0.39665446,5.728163,0.013580322,-0.17734554,-0.059162617,-0.08153731,-0.4402926,-0.11705799,2017-07-19 22:31:15,68.95293609108825
7.623,-0.498,5.401,1.0,7.584376,-0.39642364,5.678602,6.2417984E-4,0.09042364,0.1053977,-0.08058231,-0.4405627,-0.11474103,2017-07-19 22:31:16,67.78444817160948
7.853,-0.191,5.593,1.0,7.7189193,-0.29764616,5.617391,0.019080639,0.18364617,-0.13939095,-0.06896314,-0.4485273,-0.10138239,2017-07-19 22:31:17,63.65733814023886
7.853,-0.306,5.478,1.0,7.7878256,-0.21290311,5.5091476,-0.087825775,-0.01609689,0.23685217,-0.060749575,-0.45565894,-0.093262196,2017-07-19 22:31:18,39.59736502017026
7.508,-0.383,5.822,1.0,7.7305326,-0.3833211,5.562786,0.00746727,0.1153211,0.10621405,-0.075416535,-0.45000753,-0.10343311,2017-07-19 22:31:19,41.2991729144509
7.853,-0.421,5.401,1.0,7.7453604,-0.40366197,5.6144004,-0.0843606,0.13566196,-0.09840059,-0.0786635,-0.44790953,-0.10819204,2017-07-19 22:31:20,69.92368620874826
7.738,-0.344,5.478,1.0,7.619002,-0.36469945,5.643451,0.15699816,0.17369945,-0.05045128,-0.0767863,-0.44352975,-0.11008576,2017-07-19 22:31:21,68.89185401851739
7.738,-0.268,5.133,1.0,7.821443,-0.14366741,5.4273543,-0.27544308,-0.009332582,0.2036457,-0.05839173,-0.45997164,-0.09541925,2017-07-19 22:31:23,69.04927245850233
8.236,0.191,5.018,1.0,7.694428,-0.30529922,5.5486608,0.081572056,0.037299216,0.15833902,-0.07418793,-0.44966006,-0.109964624,2017-07-19 22:31:24,72.72932983297567
7.048,0.536,6.627,1.0,7.263106,-0.74296796,6.450627,-0.21510601,0.666968,0.367373,-0.114178754,-0.3948486,-0.16280761,2017-07-19 22:31:25,68.87276543296122
7.431,1.149,5.822,1.0,7.4015274,1.1168547,5.7250814,-0.046527386,0.22314537,0.21191835,-0.001326023,-0.4429889,-0.13643633,2017-07-19 22:31:26,51.784009745103944
7.47,1.149,4.903,1.0,7.371829,0.9691719,5.8425503,0.09817076,-0.0881719,-0.24955034,-0.026755685,-0.43629712,-0.17159751,2017-07-19 22:31:27,70.67746635681132
7.623,0.651,5.363,1.0,7.6116185,0.776631,5.5891237,0.08838129,0.104368985,-0.34112358,-0.03399762,-0.45156154,-0.15683717,2017-07-19 22:31:28,71.38849299628228
7.776,0.689,5.439,1.0,7.5770836,0.7851785,5.5768757,0.08391619,-0.058178484,-0.060875893,-0.031312164,-0.451289,-0.15310484,2017-07-19 22:31:29,48.79530333096841
7.776,0.689,5.707,1.0,7.756093,0.66340363,5.4048924,-0.21009302,0.10259634,0.41710758,-0.03353536,-0.46228915,-0.13919505,2017-07-19 22:31:30,61.57051540968459
7.776,0.651,5.516,1.0,7.6641617,0.72348577,5.416652,-0.041161537,-0.11148578,-0.01565218,-0.031389404,-0.4596631,-0.1434178,2017-07-19 22:31:31,74.4249310842387
7.738,0.881,5.171,0.0,7.7718153,0.6777358,5.2040653,-0.07181549,0.1642642,-0.14806509,-0.028069802,-0.4708972,-0.12873401,2017-07-19 22:31:32,70.18433224947644
8.121,0.383,5.056,1.0,7.9233794,0.5895084,5.1127625,0.0056204796,-0.0535084,0.09623766,-0.034779117,-0.47772515,-0.12852097,2017-07-19 22:31:33,37.50377863610323
7.776,0.957,4.826,0.0,7.9143667,0.6367791,5.217973,-0.44436693,0.5882209,-0.12297344,-0.037435804,-0.47328502,-0.13953966,2017-07-19 22:31:34,72.24610848929943
7.891,0.459,4.788,1.0,8.200172,0.4241104,4.5794325,-0.23217249,0.3028896,0.28556728,-0.024965394,-0.5058029,-0.08693549,2017-07-19 22:31:35,71.10012672958493
8.159,0.574,4.635,1.0,8.188964,0.5077901,4.617707,-0.10596371,0.29620993,0.09329319,-0.020673536,-0.5043197,-0.08867381,2017-07-19 22:31:36,70.87567899840367
