ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
5.259201,0.4178009,7.6420135,-0.07196045,0.0766449,0.048080444,114.04001,42.68654,5.6456513,0.28635845,8.013427,-0.19566488,0.13825169,0.055229664,-0.15176958,-0.26152426,-0.5195827,2018-01-30 13:40:12,61.64059599655127
4.461273,1.1940613,7.376251,-0.12113953,-0.1199646,-0.40098572,114.04001,42.7565,5.205914,1.0174723,8.248248,-0.6673188,0.5800161,-0.47985792,-0.11887052,-0.25558987,-0.56396574,2018-01-30 13:40:13,60.701884246114204
5.6062164,-0.61976624,7.3822937,0.03605652,-0.48550415,0.02696228,113.76001,42.816467,6.3449464,-0.99294704,7.411215,-0.96739197,0.95412076,-0.3088975,-0.22408785,-0.28098732,-0.4625664,2018-01-30 13:40:14,53.46795528741125
7.318329,-1.3540497,6.1615753,-1.0502777,-0.036331177,0.38020325,93.95,42.906418,7.653629,-2.1155605,5.754716,0.28671885,-0.22157681,1.6071334,-0.32567197,-0.31706294,-0.44961408,2018-01-30 13:40:15,51.6870832775238
5.7619934,-4.03862,5.9044495,-0.25715637,0.23660278,-0.012313843,93.95,43.026352,6.462547,-4.4413605,5.8889894,-0.3536787,0.18974304,0.26440334,-0.4177848,-0.15874809,-0.509206,2018-01-30 13:40:16,54.169703278360046
7.27507,0.14242554,7.5142517,1.1441803,-0.22290039,-0.15704346,93.95,43.116302,7.2856426,-1.2567627,6.442852,0.80718994,0.9652544,1.7757187,-0.25223684,-0.32775736,-0.4500903,2018-01-30 13:40:17,52.81868428013331
6.125351,-0.10600281,6.91066,-0.029434204,-0.013961792,0.018997192,93.95,43.17627,6.6542907,-0.61061287,7.1776013,-0.15942955,0.4949305,0.10959053,-0.21379973,-0.29721016,-0.47211185,2018-01-30 13:40:18,54.04618848536968
6.169693,-0.12919617,6.931488,-0.025924683,-0.008560181,0.0043640137,93.95,43.206253,6.5824037,-0.3710766,7.2597966,-0.053721428,0.21008015,0.050117016,-0.19332574,-0.30410284,-0.45534727,2018-01-30 13:40:19,52.337306782611805
5.9379883,-0.68148804,7.2963867,-0.0047912598,-0.025466919,0.04244995,105.270004,43.24623,6.35493,-0.8984522,7.4147177,-0.037712097,0.17877382,0.15579319,-0.20157662,-0.2846678,-0.4291879,2018-01-30 13:40:20,49.52154649613371
5.36409,-0.20280457,7.2339935,0.0410614,-0.19873047,0.30664063,57.160004,43.28621,6.038213,-0.5013877,7.710965,-0.2955408,0.2538666,-0.148139,-0.18135847,-0.26968008,-0.48373967,2018-01-30 13:40:21,52.85027140642339
5.4390106,-0.7878113,7.458725,-0.06599426,-0.068740845,0.052520752,35.65001,43.33618,5.8051305,-0.97744673,7.8431783,-0.090901375,0.1559341,-0.018500328,-0.19887203,-0.24608763,-0.46547166,2018-01-30 13:40:22,52.60545624023318
5.3198547,-0.71136475,7.47377,-0.036956787,-0.020751953,-1.6784668E-4,33.11,43.386154,5.763746,-0.9832281,7.872921,-0.117789745,0.1951431,0.13448906,-0.19948936,-0.24205783,-0.47205764,2018-01-30 13:40:23,49.121639950009346
5.272888,-0.66737366,7.4844055,-0.031066895,-0.0017852783,0.012390137,38.770004,43.426132,5.7408423,-0.9668285,7.891664,-0.11446953,0.21542323,0.08695173,-0.19803497,-0.24145235,-0.47188333,2018-01-30 13:40:24,47.58992345753525
