ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.22505496,3.241749,4.0078936,0.031634092,-0.030543262,-0.0076358155,15.279139,-0.4189853,2.980781,9.334992,0.19393034,0.260968,-5.327099,0.22513978,-0.11053021,-0.46693215,2016-10-31 10:01:48,59.384737248839954
0.79487497,4.1276035,7.1634517,1.5577064,1.3919001,2.0583978,5.4848194,1.4556746,6.337452,7.3430166,-0.6607997,-2.2098482,-0.17956513,0.22443135,-0.27807543,-0.58401656,2016-10-31 10:01:49,80.96487120520959
5.3342814,-1.0103531,7.359776,-1.0450159,-0.9784752,-0.7417649,5.093046,6.5265937,-1.2330139,7.216124,-1.1923125,0.22266077,0.1436521,-0.1727374,-0.33641326,-0.26653343,2016-10-31 10:01:50,56.419759878584415
8.00621,-1.4269443,5.9663506,0.22252949,-0.21380283,-0.07963065,3.5259552,7.6590514,-1.9512744,5.8083334,0.34715924,0.5243302,0.15801731,-0.2932231,-0.3550206,-0.38168526,2016-10-31 10:01:51,77.69669293474868
6.9719152,-2.6144683,5.731719,0.103628926,-0.29888764,-0.18871373,3.9177277,7.1969705,-2.6551697,6.1123967,-0.22505496,0.04070143,-0.38067806,-0.33690432,-0.2843496,-0.44796613,2016-10-31 10:01:52,73.66418454510604
6.0764837,-3.6391866,6.5744777,-0.26507187,0.32397676,-0.021816615,4.7012734,6.457162,-3.4380736,6.5337763,-0.38067806,-0.20111294,0.04070143,-0.33555079,-0.24208516,-0.40597835,2016-10-31 10:01:53,53.40035796861622
6.3829417,-2.825158,6.277597,0.13417219,-0.0032724924,-0.049087387,6.6601377,6.5241995,-2.6168625,6.8402343,-0.1412579,-0.20829555,-0.5626374,-0.30486304,-0.2485144,-0.44802266,2016-10-31 10:01:54,53.1513675044704
6.114791,-2.3127987,6.7564373,-0.016362462,-0.070904,-0.061086524,4.7012734,6.3949127,-2.4851813,7.007828,-0.2801216,0.17238252,-0.25139117,-0.29164845,-0.24650626,-0.44079873,2016-10-31 10:01:55,71.100275551521
5.765238,-3.6583402,7.728483,-0.05235988,-0.10908308,-0.09599311,5.4848194,6.2847795,-3.3279405,6.754043,-0.51954174,-0.33039984,0.9744401,-0.3346336,-0.2167276,-0.4433583,2016-10-31 10:01:56,67.43410373543402
6.8330517,-3.5865142,7.1155677,-0.004363323,0.26070857,-0.045814894,4.7012734,5.9448028,-2.6408045,7.3406224,0.8882488,-0.94570965,-0.22505496,-0.30908623,-0.18196213,-0.53991127,2016-10-31 10:01:57,79.44409886891559
5.8945246,-2.255338,7.120356,-0.019634955,-0.0109083075,-0.021816615,6.268365,6.421249,-2.554613,6.9599442,-0.5267244,0.29927522,0.1604115,-0.32577637,-0.20520835,-0.5397693,2016-10-31 10:01:58,53.03151356278798
6.2728086,-2.825158,6.6846113,0.0054541538,-0.063268185,-0.0054541538,10.577865,6.6247563,-3.0190883,6.5720835,-0.35194764,0.19393034,0.11252748,-0.3657806,-0.1856242,-0.5659953,2016-10-31 10:01:59,51.73843242812603
6.3542113,-2.9017725,6.339846,-0.080721475,0.016362462,0.0425424,7.8354554,6.658275,-2.9831753,6.555324,-0.30406362,0.08140286,-0.21547815,-0.36402425,-0.19063625,-0.5610797,2016-10-31 10:02:00,59.00278308856837
6.1770406,-2.9352913,6.71813,-0.021816615,0.0032724924,-0.02727077,9.402547,6.517017,-3.2273839,6.579266,-0.33997664,0.29209262,0.1388637,-0.37002403,-0.17389375,-0.5656137,2016-10-31 10:02:01,58.46585467703847
6.0525417,-3.0214825,6.579266,-0.022907447,0.0054541538,0.016362462,9.79432,6.528988,-3.2034419,6.579266,-0.47644615,0.18195933,0.0,-0.3689189,-0.17487365,-0.5663055,2016-10-31 10:02:02,52.95999406298308
5.9807158,-3.0214825,6.8761473,-0.049087387,-0.030543262,-0.015271631,9.79432,6.4380083,-3.3279405,6.6079965,-0.45729253,0.30645782,0.2681506,-0.3710238,-0.16460869,-0.57011074,2016-10-31 10:02:03,54.23663684749049
6.033388,-3.0358477,6.7708025,-0.035997417,-0.011999139,0.0032724924,10.969639,6.4643445,-3.3686419,6.5625067,-0.4309563,0.33279404,0.20829555,-0.37417832,-0.16283205,-0.5725677,2016-10-31 10:02:04,55.21488498285375
5.985504,-3.0550013,6.315904,0.04363323,-0.1308997,0.038179077,9.79432,6.471527,-3.347094,6.567295,-0.48602295,0.29209262,-0.25139117,-0.37231076,-0.16446888,-0.5711441,2016-10-31 10:02:05,73.51458517201256
5.9902925,-3.2800562,6.813898,0.031634092,0.011999139,0.029452432,9.79432,6.5696893,-3.4644098,6.4044895,-0.5793968,0.18435353,0.40940848,-0.38448042,-0.15983935,-0.5785472,2016-10-31 10:02:06,62.744106482556106
6.1243677,-3.1028855,6.445191,0.038179077,-0.05454154,-0.029452432,7.443683,6.667852,-3.383007,6.3470287,-0.5434838,0.2801216,0.09816227,-0.38184407,-0.17297778,-0.56689554,2016-10-31 10:02:07,60.06717882300944
6.05733,-3.1364043,6.7803793,-0.04363323,-0.0054541538,0.0,9.010774,6.6965823,-3.3854012,6.315904,-0.6392518,0.24899697,0.46447513,-0.38352787,-0.17184906,-0.5706072,2016-10-31 10:02:08,53.40735872459241
6.1530986,-3.1555579,6.4547677,0.008726646,0.008726646,-0.020725785,7.0519104,6.694188,-3.4811692,6.26802,-0.5410896,0.32561144,0.18674773,-0.3886727,-0.16529292,-0.57532835,2016-10-31 10:02:09,68.90820078561272
1.6184803,-2.111686,4.831499,0.2617994,0.31961343,-0.047996555,8.227228,6.6989765,-3.2848446,6.3661823,-5.080496,1.1731589,-1.5346833,-0.39127573,-0.14988384,-0.6188769,2016-10-31 10:02:10,52.72556568185287
6.143522,-3.1747115,7.6949644,-0.07744899,0.047996555,-0.05454154,9.79432,6.691794,-3.5434184,6.232107,-0.5482722,0.36870706,1.4628572,-0.40735787,-0.12960456,-0.63471836,2016-10-31 10:02:11,67.66591642737475
6.191406,-3.6056678,6.6846113,-0.03926991,-0.023998277,-0.008726646,9.79432,6.7564373,-3.5482068,6.160281,-0.5650316,-0.05746084,0.5243302,-0.4128507,-0.12697211,-0.6426438,2016-10-31 10:02:12,74.06913058730585
6.105214,-3.3375173,6.50744,-0.06654068,0.0,0.02617994,9.79432,6.8522053,-3.4237084,6.1243677,-0.7469909,0.08619126,0.38307226,-0.41259572,-0.1327953,-0.6470385,2016-10-31 10:02:13,53.117159469049085
6.0621185,-3.2321723,6.4547677,-0.05454154,-0.016362462,0.0076358155,10.186092,6.849811,-3.5889084,6.030994,-0.78769237,0.35673606,0.4237737,-0.41992527,-0.123575106,-0.6492326,2016-10-31 10:02:14,73.30224213010541
6.196194,-3.3566709,6.742072,-0.023998277,-0.045814894,-0.009817477,10.577865,6.847417,-3.572149,6.042965,-0.6512229,0.21547815,0.6991069,-0.4186137,-0.121995896,-0.65278864,2016-10-31 10:02:15,60.30309061274102
6.090849,-3.2082303,6.4499793,-0.047996555,0.016362462,-0.0021816615,11.361411,6.9264255,-3.5889084,5.9424086,-0.8355764,0.38067806,0.50757074,-0.42417404,-0.12039831,-0.6569897,2016-10-31 10:02:16,57.32769796196699
6.1626754,-3.347094,6.6271505,-0.02617994,-0.0021816615,0.0109083075,10.969639,6.8785415,-3.6703112,5.9519854,-0.7158663,0.32321724,0.6751649,-0.424667,-0.113381505,-0.6596081,2016-10-31 10:02:17,57.704307226803344
6.2823853,-3.4284968,6.2488666,0.021816615,-0.006544985,0.009817477,9.402547,6.9168487,-3.6511576,5.9184666,-0.6344634,0.22266077,0.33039984,-0.42589626,-0.11249378,-0.66365296,2016-10-31 10:02:18,69.86619588421158
5.985504,-3.7205894,7.067683,0.32506758,0.0054541538,-0.061086524,9.402547,7.0581064,-3.5338416,5.8226986,-1.0726024,-0.18674773,1.2449849,-0.42759255,-0.12331477,-0.66136646,2016-10-31 10:02:20,76.45374673236601
