ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
2.79547,8.785763,2.8726947,0.0,2.587866,8.962189,3.0373375,0.2043052,-0.10896278,-0.35412902,2016-11-11 19:55:49,50.04978807873159
5.2279787,5.357266,5.261671,0.0,2.901134,8.785125,3.2688832,2.5197642,-3.3506055,2.165635,2016-11-11 19:55:50,70.57446736696133
-1.0160992,-2.045606,9.437444,2.0,5.734166,4.590057,6.4969053,-6.7556925,-6.5786276,3.050958,2016-11-11 19:55:51,59.069205092761294
-1.7726669,-2.6106374,8.835264,0.0,1.4437568,-1.4709975,9.588725,-3.718355,-0.74911916,-0.3949901,2016-11-11 19:55:52,45.545397717444935
-3.209188,-3.482127,9.496675,0.0,-2.2473574,-2.3563201,9.248216,-0.027240695,-0.3949901,-0.667397,2016-11-11 19:55:53,56.8267159026522
0.20973206,-2.8117504,8.499622,2.0,-2.383561,-2.7649305,9.112013,2.8330321,-0.43585113,-0.6810174,2016-11-11 19:55:54,47.63244748624649
-1.667322,-3.5108573,9.14129,0.0,-1.3484143,-2.7921712,9.316318,0.23154591,-0.2043052,-0.5992953,2016-11-11 19:55:56,45.59115961618295
-1.4853628,-2.9554026,9.279495,0.0,-1.5935806,-3.3097444,9.0983925,0.21792556,0.29964766,0.013620348,2016-11-11 19:55:57,41.609896549674794
-1.6577452,-2.888365,9.240007,0.0,-1.5935806,-3.1054392,9.166493,0.027240695,0.19068487,-0.095342435,2016-11-11 19:55:58,41.72648943046184
-1.4853628,-2.735136,9.289367,0.0,-1.6344416,-2.9556153,9.220975,0.12258312,0.0,-0.095342435,2016-11-11 19:55:59,37.14490206316438
-1.6385916,-2.8213272,9.210392,0.0,-1.6208212,-2.901134,9.234595,-0.027240695,0.12258312,-0.013620348,2016-11-11 19:56:00,35.30184684998279
-1.8971654,-3.4629734,9.230136,0.0,-1.5935806,-2.819412,9.261836,0.24516624,-0.29964766,-0.21792556,2016-11-11 19:56:01,43.06463998370229
0.5928043,-2.6010606,9.555905,0.0,-1.6208212,-3.0781987,9.180114,1.8251265,0.51757324,0.35412902,2016-11-11 19:56:02,45.28491653889506
2.3166296,-1.9977219,9.230136,2.0,0.38136974,-2.7921712,9.39804,1.7434045,0.8036005,-0.08172209,2016-11-11 19:56:03,46.605226572429444
2.4698584,-1.8157625,9.328854,0.0,2.3563201,-1.9749503,9.316318,0.068101734,0.12258312,-0.040861044,2016-11-11 19:56:04,36.943339543710685
3.0731974,-1.547612,9.180777,0.0,2.5061438,-1.8115062,9.302697,0.29964766,0.17706451,-0.027240695,2016-11-11 19:56:05,37.3945292671588
5.3333235,-0.9059659,8.1442375,0.0,3.010097,-1.607201,9.193734,1.920469,0.5992953,-0.7763598,2016-11-11 19:56:06,43.87857103333019
