ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-3.606,8.973,3.503,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-23 18:25:15,45.08616072178994
5.796,7.089,5.645,-0.15245202,-0.69083154,1.2409382,30.0,4.1419377,-1.1444134,8.815046,2.4439015,8.3688,-3.458551,0.08324336,-0.21160983,0.5882747,2016-11-23 18:25:16,62.298884357389746
7.023,3.357,5.078,-0.28464818,0.3464819,-0.114072494,0.0,5.9332843,-4.4512515,6.4150515,1.650414,7.769007,-2.31256,0.034939468,-0.4118139,0.59776795,2016-11-23 18:25:17,34.8913348441966
7.734,3.684,3.883,0.08315565,-0.06503198,0.05970149,0.0,8.210902,1.4225075,5.169907,-0.1782093,2.2750401,-1.2892535,0.3288793,-0.36066997,0.46313524,2016-11-23 18:25:18,33.46548367591338
8.363,3.341,3.991,-0.3411514,-0.3272921,-0.24840085,0.0,8.384728,3.0107224,4.0990577,0.39078617,0.43195271,-0.35617352,0.39535698,-0.37580812,0.37202728,2016-11-23 18:25:19,68.93596751058693
7.665,4.752,3.532,0.13859275,-0.009594883,0.04584222,10.0,8.127087,4.2560015,3.4651515,-0.069233894,0.5316162,-0.17058182,0.40797868,-0.39608055,0.25703058,2016-11-23 18:25:20,65.6798534124378
7.416,4.666,3.742,-0.03731343,0.020255864,0.0,0.0,7.9903617,4.5669074,3.3864222,-0.13099766,0.16803789,0.06377077,0.4243366,-0.38376942,0.2551255,2016-11-23 18:25:22,71.77320367829884
7.421,4.525,3.558,0.047974415,0.0021321962,0.018123668,0.0,7.9858327,4.59001,3.3658051,-0.061226368,0.11740208,-0.041906357,0.4277823,-0.3816337,0.25853628,2016-11-23 18:25:23,34.999063326651346
7.476,4.532,3.548,-0.014925373,-0.03304904,-0.0031982942,0.0,8.011496,4.5839853,3.3126175,-0.047983646,0.03184843,-0.030018806,0.42868185,-0.38384303,0.25790623,2016-11-23 18:25:24,52.50435503699528
7.632,4.554,3.034,0.0063965884,-0.0010660981,0.012793177,0.0,8.079567,4.626509,3.0799963,-0.01729393,0.0216465,0.22415042,0.43295962,-0.3943473,0.2488124,2016-11-23 18:25:25,55.415048564564216
7.59,4.562,3.415,0.012793177,0.03304904,0.0063965884,0.0,8.072565,4.6357036,3.0845304,-0.0037078857,0.018437386,0.069978714,0.43564627,-0.39093348,0.25338587,2016-11-23 18:25:26,28.902304797362998
7.543,4.522,3.261,0.0031982942,0.009594883,-0.013859275,0.0,8.087823,4.606135,3.0888567,-0.081214905,-0.001074791,0.024352312,0.43391424,-0.39272204,0.25313234,2016-11-23 18:25:27,34.3310292153565
7.722,4.505,3.416,0.014925373,0.01705757,-0.0074626864,0.0,8.094531,4.5928516,3.0910676,-0.049017906,-0.011135101,-0.03053093,0.43322465,-0.39333943,0.2531724,2016-11-23 18:25:28,33.6844451472141
7.694,4.417,3.82,-0.040511727,-0.0042643924,0.0063965884,0.0,8.066143,4.521289,3.265838,0.012888908,-0.08382273,0.37888384,0.42644534,-0.38940087,0.2567227,2016-11-23 18:25:29,32.64038503087193
7.805,4.4,3.718,-0.029850746,-0.009594883,0.014925373,0.0,8.073238,4.5280647,3.2387998,0.07343006,-0.06126976,-0.02383709,0.42722663,-0.39037675,0.25601125,2016-11-23 18:25:30,57.132688643324954
7.454,4.505,3.775,0.057569295,0.0042643924,-0.04584222,0.0,8.050494,4.5113144,3.3178277,-0.15042877,0.041671753,-0.10765338,0.42472485,-0.38787457,0.2572764,2016-11-23 18:25:31,32.81868803886725
7.488,4.389,3.113,0.06289978,-0.008528785,-0.03411514,0.0,8.044239,4.4846096,3.3688126,-0.014886856,-0.09742212,0.1945064,0.42108366,-0.3884932,0.25552943,2016-11-23 18:25:32,38.916973835429644
7.656,4.377,3.462,0.029850746,0.015991472,0.012793177,0.0,8.031602,4.506601,3.3696158,-0.13512754,-0.07332468,-0.3180573,0.42081624,-0.38795894,0.25496197,2016-11-23 18:25:33,57.46787171354065
7.609,4.347,3.611,0.010660981,0.0,-0.013859275,0.0,8.037491,4.46361,3.4125264,0.033162117,-0.011180401,-0.06887531,0.4202027,-0.38657382,0.25834036,2016-11-23 18:25:34,72.06167526700936
7.51,4.36,3.608,-0.092750534,-0.02238806,0.0010660981,0.0,8.03611,4.4464564,3.4380717,-0.019925117,0.0041775703,0.15756893,0.41867512,-0.38654655,0.25841826,2016-11-23 18:25:35,74.25186756789914
7.465,4.387,3.728,0.012793177,-0.014925373,-0.008528785,0.0,8.053627,4.4215307,3.4292183,-0.06318045,0.007555485,-0.07000494,0.4162878,-0.38969597,0.25552198,2016-11-23 18:25:36,68.78886340788276
7.507,4.4,3.512,0.04584222,0.012793177,-0.0031982942,0.0,8.051261,4.421789,3.4344382,-0.15239239,0.058772564,0.104938745,0.4166231,-0.38916898,0.2559113,2016-11-23 18:25:37,51.12677612188756
7.643,4.34,3.612,-0.013859275,-0.0063965884,0.015991472,0.0,8.060188,4.4245834,3.40981,-0.06495333,-0.01824236,-0.088903904,0.4174192,-0.38975543,0.2563722,2016-11-23 18:25:38,73.35446812498189
7.54,4.269,3.256,0.04584222,-0.015991472,-0.036247335,0.0,8.060826,4.4414153,3.386338,-0.06978083,-0.05722046,-0.5143447,0.4178064,-0.3907949,0.25418273,2016-11-23 18:25:39,77.99271559400493
7.617,4.325,3.636,-0.009594883,-0.0031982942,-0.011727079,0.0,8.072166,4.4128838,3.3966062,-0.004507065,-0.007739544,-0.008662462,0.41665572,-0.3914323,0.25521976,2016-11-23 18:25:40,37.079183934579426
7.537,4.315,3.717,0.011727079,0.0,0.0010660981,0.0,8.075824,4.401871,3.4022071,-0.099143505,-0.025457382,-0.0022923946,0.41615644,-0.39159876,0.25560978,2016-11-23 18:25:41,67.66946236292858
7.676,4.282,3.674,-0.0063965884,0.012793177,0.0074626864,0.0,8.075205,4.4055696,3.3988826,-0.10510874,-0.048907757,-0.029494047,0.4164736,-0.39147788,0.25569382,2016-11-23 18:25:42,45.41940262499022
7.515,4.297,3.753,-0.02238806,0.0,0.015991472,0.0,8.081955,4.3917246,3.4007545,-0.11545038,-0.0260849,0.07816887,0.4158663,-0.39156547,0.25699762,2016-11-23 18:25:43,31.881190277012053
7.662,4.2,3.817,0.035181236,-0.0021321962,-0.0063965884,0.0,8.085777,4.3806643,3.4059277,-0.04505253,-0.059317112,-0.17061424,0.41657227,-0.39091364,0.25869727,2016-11-23 18:25:44,72.39517858663432
7.562,4.24,3.655,0.0010660981,0.0042643924,0.0042643924,0.0,8.09297,4.3491845,3.4291117,-0.045660973,-0.030231476,-0.06331444,0.41453087,-0.3915713,0.25899807,2016-11-23 18:25:45,55.27723505830093
7.647,4.248,3.611,-0.018123668,-0.015991472,-0.014925373,0.0,8.100092,4.333957,3.4315748,-0.19284391,-0.03296089,0.022209406,0.4133026,-0.39270768,0.25816336,2016-11-23 18:25:46,74.6280060736295
7.93,4.173,3.975,-0.009594883,0.0,0.04904051,0.0,8.102536,4.3161983,3.448145,-0.11448383,-0.21032953,-0.08713603,0.41499868,-0.39075026,0.26114503,2016-11-23 18:25:47,64.65534965712108
7.477,4.1,3.975,-0.0053304904,-0.0074626864,0.008528785,0.0,8.086173,4.171631,3.6580946,-0.15498304,-0.00710392,0.054263353,0.39452437,-0.39729026,0.24930154,2016-11-23 18:25:48,45.91319164952881
7.789,4.002,3.99,0.0042643924,-0.008528785,0.0,0.0,8.110989,4.1511297,3.6263437,-0.11695051,-0.0787797,-0.14323044,0.39429334,-0.39909714,0.2507036,2016-11-23 18:25:49,62.82157182405666
7.648,4.041,3.893,0.0021321962,0.0063965884,0.0063965884,0.0,8.1218605,4.1637607,3.587318,0.06311512,-0.05430031,0.0669806,0.3977834,-0.39858,0.2526235,2016-11-23 18:25:50,70.66311887742647
7.659,4.131,3.738,0.0074626864,0.0010660981,-0.0021321962,0.0,8.132862,4.2223554,3.49266,-0.01612091,-0.029696465,-0.03708005,0.40258187,-0.3995394,0.2517678,2016-11-23 18:25:51,76.18138552836882
7.679,4.099,3.759,-0.0021321962,0.0,0.0031982942,0.0,8.14082,4.227174,3.468207,-0.028866768,-0.04768324,0.008322239,0.40415,-0.3999246,0.2522364,2016-11-23 18:25:52,35.63404830576259
7.734,4.117,3.744,-0.019189766,-0.0074626864,0.0042643924,0.0,8.147027,4.217158,3.4658175,0.03794861,-0.031083107,0.004127741,0.40354022,-0.40055925,0.25208545,2016-11-23 18:25:53,46.99093387513284
7.616,4.072,3.745,0.0,0.013859275,0.0021321962,0.0,8.148761,4.2170134,3.4619186,-0.08110142,-0.07582998,0.0092237,0.40403393,-0.40030974,0.25284988,2016-11-23 18:25:54,29.83685738527802
7.744,4.045,3.778,-0.010660981,0.0,0.0031982942,0.0,8.147987,4.2288637,3.4492617,0.07050705,-0.11461496,0.04821682,0.40502095,-0.4000409,0.25301054,2016-11-23 18:25:55,72.71971130368337
7.75,4.026,3.748,-0.018123668,-0.008528785,0.0053304904,0.0,8.153398,4.2162647,3.4519026,-0.025882721,-0.12595797,-0.03463006,0.4044712,-0.40038967,0.2535365,2016-11-23 18:25:56,61.665145280816354
7.696,4.035,3.742,-0.0053304904,0.0063965884,0.0010660981,0.0,8.166152,4.1925416,3.4506412,0.0056552887,-0.07530022,0.033669233,0.40407097,-0.4009627,0.2547653,2016-11-23 18:25:57,67.96252552689494
7.773,4.09,3.677,-0.08955224,-0.010660981,0.0,0.0,8.164988,4.2020907,3.4417737,0.043331146,-0.04295063,0.041339636,0.40485543,-0.40076238,0.25477314,2016-11-23 18:25:58,61.86153199484853
7.747,3.988,3.748,-0.018123668,-0.0042643924,0.0063965884,0.0,8.168663,4.187021,3.4514074,0.018108368,-0.09611559,-0.026353598,0.40425706,-0.4007792,0.25551948,2016-11-23 18:25:59,39.43680642522534
7.652,4.003,3.696,-0.008528785,0.0053304904,-0.0042643924,0.0,8.1699295,4.1906323,3.4440136,0.01803875,-0.08536196,0.069625616,0.40431705,-0.40116322,0.25494376,2016-11-23 18:26:00,29.262746029142704
7.829,4.002,3.659,-0.0031982942,-0.0021321962,0.0053304904,0.0,8.176642,4.2100644,3.4041526,0.12145901,-0.109582424,-0.059304476,0.4059191,-0.40207738,0.25400776,2016-11-23 18:26:01,58.06608946606466
7.597,4.087,3.641,0.031982943,-0.014925373,-0.018123668,0.0,8.125995,4.2429414,3.4836836,-0.042772293,-0.091582775,-0.043067455,0.4016736,-0.40129778,0.24692751,2016-11-23 18:26:02,75.9826200832387
7.629,4.06,3.811,0.010660981,0.0021321962,-0.0042643924,0.0,8.137708,4.21941,3.4849243,-0.025156975,-0.09259176,0.10892081,0.4006093,-0.40228167,0.24718729,2016-11-23 18:26:03,54.19672798575637
7.67,4.045,3.742,-0.008528785,-0.0074626864,0.010660981,0.0,8.147367,4.1981363,3.4880471,0.03162384,-0.06712818,0.08784151,0.40012187,-0.40256882,0.24845693,2016-11-23 18:26:04,67.16298655294051
7.825,4.01,3.833,0.012793177,-0.0074626864,0.012793177,0.0,8.164203,4.1970215,3.4498086,0.025561333,-0.14801455,-0.1725967,0.4017364,-0.40338138,0.24962981,2016-11-23 18:26:05,69.34028139575815
7.624,4.003,3.349,0.018123668,-0.0010660981,0.023454158,0.0,8.191454,4.2058177,3.3736608,-0.025631905,-0.03949499,-0.107821465,0.4024523,-0.40745968,0.24607034,2016-11-23 18:26:06,54.55697070304227
7.624,4.207,3.388,0.08955224,0.0063965884,0.020255864,0.0,8.151939,4.2683725,3.3907664,0.34069157,-0.14335012,-0.17281103,0.40420613,-0.4046437,0.24437682,2016-11-23 18:26:07,75.78557394158435
7.674,3.954,3.317,0.07356077,-0.008528785,-0.04584222,0.0,8.239014,4.1285305,3.3532438,-0.05523491,-0.15853238,-0.25200582,0.39969802,-0.4117944,0.24515304,2016-11-23 18:26:08,55.668035862183125
7.868,4.025,3.854,-0.053304903,-0.009594883,0.012793177,0.0,8.245765,4.123113,3.3433046,-0.005124092,-0.10463238,0.11107826,0.39765775,-0.4136232,0.24372375,2016-11-23 18:26:09,64.90233559793724
7.836,3.979,3.684,0.013859275,0.0021321962,0.023454158,0.0,8.242224,4.105299,3.3738158,-0.03929138,-0.057489395,0.029690266,0.3961868,-0.41354474,0.24370837,2016-11-23 18:26:10,59.96067723672388
7.724,3.94,3.633,0.0042643924,-0.0042643924,0.0063965884,0.0,8.256821,4.081527,3.366963,-0.0012159348,-0.06963062,0.092208385,0.39562237,-0.4145065,0.24454035,2016-11-23 18:26:11,53.54877885563088
7.819,3.954,3.48,0.03411514,-0.019189766,-0.019189766,0.0,8.262571,4.1097755,3.3181353,0.031938553,-0.10745573,-0.090004444,0.39856926,-0.41527516,0.24359228,2016-11-23 18:26:12,48.63966028600686
7.867,3.978,3.35,0.0053304904,-0.008528785,-0.013859275,0.0,8.274174,4.100454,3.3007107,0.05445385,-0.040673256,-0.21982336,0.3980638,-0.41624,0.24391192,2016-11-23 18:26:13,36.81831152591233
8.023,4.002,3.917,0.029850746,0.008528785,-0.010660981,0.0,8.267305,4.116467,3.2979944,0.17983532,-0.047708035,0.31560278,0.3985657,-0.41592607,0.24320202,2016-11-23 18:26:14,31.69128594598821
7.733,4.024,3.722,-0.0031982942,0.019189766,-0.0063965884,0.0,8.26365,4.130695,3.289354,0.15535927,-0.07570267,0.17340851,0.39914152,-0.41590348,0.24249248,2016-11-23 18:26:15,71.3451446148234
7.698,4.033,3.513,-0.029850746,-0.024520256,0.0042643924,0.0,8.2690525,4.1212697,3.2875965,-0.08527374,-0.03455448,0.09974861,0.39896148,-0.4161838,0.24295364,2016-11-23 18:26:16,66.72750459441883
7.804,4.023,3.575,0.01705757,0.0021321962,0.0,0.0,8.264838,4.1407695,3.2736602,-0.02240181,-0.07739735,0.014924049,0.40050897,-0.41555065,0.24329482,2016-11-23 18:26:17,50.85114511875956
7.749,3.987,3.64,-0.0031982942,-0.010660981,-0.0063965884,0.0,8.2715435,4.1256204,3.2758546,-0.016537666,-0.06464243,0.001357317,0.39986077,-0.41604003,0.2436215,2016-11-23 18:26:18,76.46902149268763
7.948,3.955,3.519,0.0042643924,0.009594883,0.023454158,0.0,8.274622,4.1184278,3.277129,-0.19559002,-0.09216595,0.056945324,0.39920896,-0.41622683,0.24420191,2016-11-23 18:26:19,56.03767880467785
7.804,4.009,3.589,-0.02771855,-0.0021321962,0.0,0.0,8.278345,4.1057997,3.2835596,-0.022740364,-0.028062344,0.030762434,0.39931506,-0.41588622,0.24526657,2016-11-23 18:26:20,68.59884861647961
7.934,3.909,3.798,-0.021321962,0.009594883,0.025586354,0.0,8.278653,4.1075926,3.2805462,0.10683727,-0.12921476,0.24326849,0.39979798,-0.41607416,0.24496165,2016-11-23 18:26:21,54.36859031700265
7.697,4.019,3.498,0.0074626864,-0.008528785,0.0010660981,0.0,8.284696,4.103936,3.2698505,-0.13623142,-0.016023636,-0.045909643,0.39950976,-0.41674456,0.24469522,2016-11-23 18:26:23,63.02585500231484
7.882,3.936,3.65,-0.026652452,0.008528785,0.024520256,0.0,8.286432,4.0973625,3.2736864,-0.13317966,-0.025610924,0.05919075,0.39843214,-0.41724122,0.24498208,2016-11-23 18:26:24,57.64974488334894
7.814,4.017,3.374,-0.03837953,-0.0063965884,0.0,0.0,8.292409,4.1117973,3.2402852,-0.027227402,-0.026278973,-0.14024425,0.40025634,-0.4174632,0.24458095,2016-11-23 18:26:25,74.45142407586528
7.924,3.952,3.467,-0.014925373,-0.0010660981,0.0010660981,0.0,8.291766,4.121282,3.2298696,0.07516861,-0.09921026,-0.017899752,0.4014877,-0.41728908,0.2446905,2016-11-23 18:26:26,71.12009534289272
7.711,4.051,3.458,0.0021321962,-0.0021321962,-0.0063965884,0.0,8.281331,4.1522965,3.2168884,-0.11910057,-0.03266096,-0.0330503,0.40286988,-0.41674957,0.24368575,2016-11-23 18:26:27,67.97956014831384
7.635,4.167,2.79,-0.013859275,-0.0063965884,0.0074626864,0.0,8.264823,4.218608,3.1727657,-0.14329338,0.01355505,-0.70239973,0.4052961,-0.41709608,0.23969905,2016-11-23 18:26:28,59.64535198619011
7.755,4.037,3.598,-0.031982943,-0.010660981,-0.010660981,0.0,8.294102,4.117078,3.2292275,-0.06184101,-0.01659584,-0.09686494,0.39876705,-0.4196816,0.24050024,2016-11-23 18:26:29,72.79661459756719
7.947,3.993,3.526,-0.041577823,-0.029850746,0.0,0.0,8.299285,4.1201777,3.211911,0.113140106,-0.059798717,0.16705441,0.40027738,-0.41954273,0.24162072,2016-11-23 18:26:30,63.307473249965646
7.58,4.193,2.973,-0.043710023,-0.0042643924,0.012793177,0.0,8.299081,4.140252,3.186525,-0.26074982,0.1272254,-0.39533615,0.40233538,-0.4191165,0.24225616,2016-11-23 18:26:31,61.842135169303276
7.711,4.015,3.354,0.03837953,-0.0031982942,-0.02238806,0.0,8.313768,4.093553,3.2084966,0.037005424,-0.053524494,-0.045009375,0.40097597,-0.41958797,0.24396378,2016-11-23 18:26:32,33.72319454322496
7.773,4.023,3.549,0.0565032,0.0074626864,-0.0042643924,0.0,8.319474,4.0944557,3.1925118,-0.1201334,-0.014923096,-0.014659166,0.4009718,-0.42005804,0.24431998,2016-11-23 18:26:33,52.83899416106174
7.758,3.99,3.365,-0.025586354,-0.020255864,0.013859275,0.0,8.322368,4.0779166,3.206118,-0.106266975,-0.009157658,-0.31676698,0.3991152,-0.42045912,0.24462335,2016-11-23 18:26:34,31.337530963452473
7.726,4.1,3.428,0.09808102,0.053304903,0.0010660981,0.0,8.302401,4.070288,3.2669976,-0.12939644,0.08705616,-0.20346808,0.40075123,-0.4157258,0.25002456,2016-11-23 18:26:35,72.01900334066696
7.873,3.808,3.552,0.035181236,0.0063965884,0.012793177,0.0,8.345725,3.9851995,3.2615058,-0.0075206757,-0.09421015,-0.04833889,0.4020784,-0.41509372,0.26010546,2016-11-23 18:26:36,69.22819245183558
7.943,3.815,3.577,0.014925373,0.0053304904,-0.0063965884,0.0,8.37363,3.9103909,3.2804782,-0.090491295,-0.080453634,0.116443634,0.395847,-0.41957986,0.25649875,2016-11-23 18:26:37,74.53786794789278
