ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-06 11:48:18,25.93708246373328
-4.7169952,5.5211487,-6.756775,0.20917542,0.14945395,0.021632297,1.0,-5.288475,6.0377073,-5.634582,-0.57583463,0.52146715,1.1211103,0.13424373,0.88019884,0.2933736,2016-12-06 11:48:19,33.743744383520124
-4.7562256,5.501526,-6.71756,0.011982696,0.0012024419,0.008747125,1.0,-4.6930304,5.4518194,-6.665098,0.019610008,-0.03718079,0.117835045,0.14662161,0.90471953,0.25752568,2016-12-06 11:48:20,46.64173548247209
-4.6875763,5.530945,-6.697937,8.450446E-4,-8.9917786E-4,0.004401994,1.0,-4.658652,5.462087,-6.680791,0.026747722,-0.05415343,-0.0068205656,0.14775941,0.9048709,0.2579653,2016-12-06 11:48:21,17.43215693292815
-8.103561,5.1942596,-1.1343079,-0.12257065,-0.41025054,-0.08771037,2.0,-6.963133,5.6056604,-4.032586,1.0864929,0.4435487,-2.9838195,0.15849094,0.81870073,0.25372154,2016-12-06 11:48:22,31.593798056722395
-8.20816,5.168106,-0.44129944,-0.03885607,-0.03552933,-0.0066367825,2.0,-8.137536,5.418683,-0.7673159,-0.03342904,0.22933045,-0.16802064,0.13681391,0.7188928,0.26445132,2016-12-06 11:48:23,42.782108223911415
-8.142792,5.6519012,0.10787964,-0.011490619,-0.033104002,0.025909869,2.0,-8.162329,5.433093,-0.16814971,-0.27614787,-0.069527455,-0.4269363,0.14898366,0.69671357,0.25906032,2016-12-06 11:48:24,35.171714214440826
-7.3321075,5.834961,0.38246155,-0.026113467,0.02929786,0.013439948,2.0,-7.9266763,5.7685227,0.24968281,-0.74875337,-0.060986053,-0.06358518,0.14252241,0.68347424,0.2947371,2016-12-06 11:48:25,34.6274916018983
-7.070587,5.508072,1.7946167,-0.14781371,0.14414248,-0.042916838,1.0,-7.8013244,5.9368396,-0.25232238,-2.1625004,0.8973106,-0.18422063,0.10892687,0.70793986,0.3310331,2016-12-06 11:48:26,30.905409342723434
2.984497,0.5393677,12.751907,-0.46431553,-0.38838437,0.44013056,1.0,-5.1774774,2.37559,7.9825244,-6.4169292,0.7956298,-0.053480484,-0.04424392,0.25410223,0.57998085,2016-12-06 11:48:27,26.194520495734324
4.2005157,0.5132141,8.8684845,-0.022883344,-0.11900934,0.03644968,1.0,3.5525832,0.68260777,9.11502,-0.642484,0.19227529,0.24817397,0.15799858,-0.10679033,0.70035404,2016-12-06 11:48:28,57.30747076945998
4.187439,0.5295563,8.835785,0.0022189138,-0.0055703223,0.0015378321,1.0,4.149669,0.55089945,8.868323,-0.04539797,0.0060855225,0.02871795,0.17535429,-0.13101673,0.6979526,2016-12-06 11:48:29,22.531663055089336
4.216858,0.6178131,8.845596,-2.4879634E-4,-3.2435634E-4,-7.277123E-4,1.0,4.2162557,0.5392279,8.837579,0.0075683375,-0.046447042,-0.029267455,0.17801487,-0.13308698,0.7004597,2016-12-06 11:48:30,27.594175812096303
4.2364655,0.58839417,8.855408,8.6329994E-4,-0.0023113515,-0.0022492493,1.0,4.200721,0.5719039,8.84292,-0.00796654,0.013469671,0.016935652,0.17850666,-0.13154207,0.699661,2016-12-06 11:48:31,42.66927515828084
4.2658997,0.6178131,8.855408,-0.00349859,-6.767986E-4,-0.0071690846,1.0,4.208488,0.57736236,8.838874,-0.05468091,-0.008312577,-7.315617E-4,0.17864148,-0.13213609,0.6978233,2016-12-06 11:48:32,20.820070109346346
