ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
8.542512,0.23942018,3.7541082,44.0,2016-12-08 10:11:41,33.90295036996931
8.303091,1.0151415,4.501099,45.0,2016-12-08 10:11:42,60.38069317353425
8.341399,1.0630256,4.501099,44.0,2016-12-08 10:11:43,27.69298843153973
8.226477,1.1300632,4.4723687,44.0,2016-12-08 10:11:44,58.81148493693006
8.264784,1.1492168,4.5202527,44.0,2016-12-08 10:11:45,65.8769263991143
8.418014,0.7086837,3.5338416,44.0,2016-12-08 10:11:46,68.15790028972697
7.0485296,1.8004397,6.090849,53.0,2016-12-08 10:11:47,34.20088521023203
6.7229185,2.0207062,6.3111157,53.0,2016-12-08 10:11:48,64.39539223136363
6.694188,2.0111294,6.5601125,52.0,2016-12-08 10:11:49,66.72004850436214
6.6079965,2.0015526,6.579266,52.0,2016-12-08 10:11:50,62.7546308630709
6.5026517,1.9536686,6.588843,53.0,2016-12-08 10:11:51,31.903194396852985
6.3685765,1.9057846,6.6654577,52.0,2016-12-08 10:11:52,27.077617343522675
6.3302693,2.1547816,6.7133417,52.0,2016-12-08 10:11:53,29.763194045738967
6.493075,0.39264908,6.6271505,45.0,2016-12-08 10:11:54,26.408684358696057
5.544971,2.9496565,6.2249246,80.0,2016-12-08 10:11:55,31.01792883184519
4.3957543,3.4476504,8.236053,35.0,2016-12-08 10:11:56,57.82304625060906
6.3206925,2.6240451,8.676587,40.0,2016-12-08 10:11:57,54.19620912706742
6.8282633,2.5187001,8.532935,66.0,2016-12-08 10:11:58,57.87362679354561
6.3111157,2.4995465,8.896853,76.0,2016-12-08 10:11:59,62.34023896584104
6.703765,2.1739352,7.422025,487.0,2016-12-08 10:12:00,59.876539487573616
6.751649,0.9959879,6.531382,157.0,2016-12-08 10:12:01,43.420040594275065
5.947197,0.17238252,7.881712,228.0,2016-12-08 10:12:02,58.90411182552973
2.2697031,-2.633622,8.00621,59.0,2016-12-08 10:12:03,64.76070666519871
-3.3997664,-2.1547816,10.419566,42.0,2016-12-08 10:12:05,33.06622917083898
-4.175488,-1.4556746,8.63828,38.0,2016-12-08 10:12:06,52.59581451666972
-0.7661445,-4.4340615,9.107543,31.0,2016-12-08 10:12:07,26.085572317728115
0.61291564,-3.8307228,7.824251,99.0,2016-12-08 10:12:08,27.23710440857579
1.0821792,-2.2218192,9.433155,38.0,2016-12-08 10:12:09,62.78319957206335
6.6846113,0.16280572,7.2783732,267.0,2016-12-08 10:12:10,34.88541022318993
6.933608,-0.076614454,6.14831,108.0,2016-12-08 10:12:11,56.49659814887096
8.034941,-0.05746084,5.171476,114.0,2016-12-08 10:12:12,30.874020428213406
7.5944076,-0.009576807,5.6886234,186.0,2016-12-08 10:12:13,34.86401548541201
7.4507556,-0.06703765,5.813122,195.0,2016-12-08 10:12:14,31.32018748340851
7.4603324,-0.019153614,5.8322754,203.0,2016-12-08 10:12:15,32.6160976917875
7.489063,-0.076614454,5.8705826,254.0,2016-12-08 10:12:16,57.792823287582245
7.4124484,-0.047884032,5.8801594,288.0,2016-12-08 10:12:17,28.34983342834182
7.3549876,-0.06703765,5.861006,292.0,2016-12-08 10:12:18,59.36938266382856
7.383718,-0.10534488,5.7748146,291.0,2016-12-08 10:12:19,56.3879147315162
7.5082164,-0.038307227,5.813122,292.0,2016-12-08 10:12:20,60.0843163528894
7.441179,-0.038307227,5.899313,292.0,2016-12-08 10:12:21,27.646041736142376
7.393295,-0.08619126,5.889736,293.0,2016-12-08 10:12:22,40.20287978907757
7.479486,-0.05746084,5.889736,292.0,2016-12-08 10:12:23,48.0156922608656
7.4124484,-0.076614454,5.841852,293.0,2016-12-08 10:12:24,63.04139464956648
7.5082164,-0.02873042,5.947197,293.0,2016-12-08 10:12:25,57.385521735354494
7.5082164,-0.08619126,5.8322754,293.0,2016-12-08 10:12:26,39.18575157738609
7.479486,-0.11492168,5.7748146,293.0,2016-12-08 10:12:27,48.18155678096933
7.469909,-0.076614454,5.851429,293.0,2016-12-08 10:12:28,33.86426502777477
7.4507556,-0.076614454,5.8322754,293.0,2016-12-08 10:12:29,35.42325565942522
7.4507556,-0.11492168,5.9759274,293.0,2016-12-08 10:12:30,68.06801083071366
7.52737,-0.076614454,5.899313,293.0,2016-12-08 10:12:31,64.19248454219782
7.469909,-0.095768064,5.899313,293.0,2016-12-08 10:12:32,30.806715732942212
7.479486,-0.047884032,5.8322754,293.0,2016-12-08 10:12:33,54.313649202654446
7.536947,-0.05746084,5.8801594,293.0,2016-12-08 10:12:34,62.79570231573733
7.431602,-0.06703765,5.889736,293.0,2016-12-08 10:12:35,61.94035651804107
7.441179,0.0,5.813122,293.0,2016-12-08 10:12:36,63.791446864377264
7.4603324,-0.095768064,5.8322754,293.0,2016-12-08 10:12:37,27.143943820921873
7.422025,-0.12449849,5.861006,293.0,2016-12-08 10:12:38,68.27670790161869
7.441179,-0.10534488,5.8322754,293.0,2016-12-08 10:12:39,55.306853735549765
7.4986396,-0.11492168,5.899313,293.0,2016-12-08 10:12:41,30.681178045720138
7.4507556,-0.038307227,5.841852,293.0,2016-12-08 10:12:42,27.716104442378718
7.431602,-0.095768064,5.851429,293.0,2016-12-08 10:12:43,39.46424424730881
7.4603324,-0.047884032,5.9184666,293.0,2016-12-08 10:12:44,60.77555632711608
7.479486,0.0,5.851429,293.0,2016-12-08 10:12:45,62.69975001598667
7.469909,-0.06703765,5.9567738,293.0,2016-12-08 10:12:46,59.13626217825225
7.4124484,-0.047884032,5.7748146,293.0,2016-12-08 10:12:47,32.37230512634263
7.5082164,-0.06703765,5.841852,293.0,2016-12-08 10:12:48,62.552813034986855
7.441179,-0.06703765,5.793968,293.0,2016-12-08 10:12:49,59.795208368370716
7.4507556,-0.08619126,5.9280434,293.0,2016-12-08 10:12:50,48.53632515205096
7.479486,-0.019153614,5.90889,293.0,2016-12-08 10:12:51,44.76955225985733
