ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TEMP_2,TIME,VOICE
5.195418,1.0486604,11.216835,0.6352651,0.16978264,-0.034791004,16.98,26.2,4.603601,1.0272622,8.597728,0.5918167,0.021398177,2.619107,0.0629761,-0.24014749,0.035736725,0.0,2016-12-29 19:01:08,-Infinity
5.333084,0.6727707,10.311827,0.75245696,-0.4844298,-0.6068633,16.98,26.2,4.613477,1.1350013,8.578724,0.71960723,-0.46223056,1.7331028,0.064405985,-0.24176952,0.018510807,0.0,2016-12-29 19:01:09,74.44266262457135
6.625953,2.1380222,7.630321,0.2880089,-0.042421494,0.053586796,16.98,26.3,5.799355,1.899799,7.6762595,0.8265981,0.23822308,-0.045938745,0.089899674,-0.3170677,-0.038039632,0.0,2016-12-29 19:01:11,72.96482390956582
5.130774,1.8782512,7.856573,0.20279199,-0.14579901,0.02268587,9.34,26.4,4.824167,1.6075568,8.385093,0.30660746,0.27069443,-0.52852005,0.079255596,-0.25727588,-0.022000136,0.0,2016-12-29 19:01:12,77.60904225403651
3.5685577,1.0773908,7.6602483,0.3647186,0.061859637,-0.12752867,9.34,26.5,3.6170402,0.8393173,9.076419,-0.048482586,0.23807344,-1.4161704,0.03760753,-0.1892485,-0.03126075,0.0,2016-12-29 19:01:13,68.65635076001156
0.93134445,2.621651,6.5505357,-0.060317934,-0.23432621,-0.5302063,0.28,26.5,0.9581296,1.5346833,9.638158,-0.026785132,1.0869676,-3.0876224,0.07406329,-0.05566668,-0.08589944,0.0,2016-12-29 19:01:14,75.94533438010248
3.4727895,0.11851298,5.16549,-0.77723664,-0.4463607,-0.15098046,0.28,26.6,4.3526587,0.40402153,8.77834,-0.8798691,-0.28550854,-3.6128504,0.014459089,-0.22851056,-0.028610688,0.0,2016-12-29 19:01:15,71.51021792267454
2.8574798,0.005985504,6.0860605,0.13996057,-0.37503672,-0.7070573,0.28,26.6,3.6984432,-0.17836803,9.080608,-0.84096336,0.18435353,-2.9945478,5.922206E-4,-0.19238621,0.050268523,0.0,2016-12-29 19:01:16,70.61802451222493
2.3439236,1.0127473,5.8203044,0.022783076,-0.4794497,-0.507856,0.57,26.7,2.9724014,-0.11342531,9.344569,-0.62847793,1.1261727,-3.5242648,-0.00702102,-0.1533233,-0.007579527,0.0,2016-12-29 19:01:17,68.87553431505629
3.5853171,0.8487445,6.8881183,0.4254573,0.1106602,-0.15526175,0.57,26.7,3.4082959,-0.6827964,9.169792,0.1770213,1.5315409,-2.2816741,-0.037213955,-0.17629275,-0.010193066,0.0,2016-12-29 19:01:18,76.0807610239505
2.9352913,0.51714754,7.3430166,0.5447696,-0.28138694,-0.66446346,0.57,26.8,2.9227216,-1.1257237,9.292944,0.012569559,1.6428713,-1.9499277,-0.060925256,-0.14991838,-0.018125119,0.0,2016-12-29 19:01:19,73.70509157755345
