ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.095768064,0.0,9.624691,2.0,2017-01-26 09:12:32,NaN
-0.18195933,-0.29688102,9.481039,3.0,2017-01-26 09:12:33,NaN
4.185065,0.5554548,8.820239,2.0,2017-01-26 09:12:34,NaN
1.2162545,0.23942018,9.586384,4.0,2017-01-26 09:12:35,NaN
0.5363012,0.095768064,9.605537,3.0,2017-01-26 09:12:37,NaN
0.545878,0.10534488,9.605537,4.0,2017-01-26 09:12:38,NaN
0.545878,0.095768064,9.605537,4.0,2017-01-26 09:12:39,NaN
0.5363012,0.095768064,9.624691,2.0,2017-01-26 09:12:40,NaN
0.545878,0.08619126,9.615114,4.0,2017-01-26 09:12:41,NaN
0.5267244,0.095768064,9.634268,4.0,2017-01-26 09:12:42,NaN
0.5363012,0.08619126,9.615114,4.0,2017-01-26 09:12:43,NaN
0.545878,0.10534488,9.615114,4.0,2017-01-26 09:12:44,NaN
0.5363012,0.095768064,9.615114,4.0,2017-01-26 09:12:45,NaN
0.5267244,0.095768064,9.615114,4.0,2017-01-26 09:12:46,NaN
0.545878,0.095768064,9.624691,4.0,2017-01-26 09:12:47,NaN
0.5267244,0.095768064,9.615114,4.0,2017-01-26 09:12:48,NaN
0.5363012,0.08619126,9.624691,4.0,2017-01-26 09:12:49,NaN
0.51714754,0.08619126,9.634268,3.0,2017-01-26 09:12:50,NaN
0.51714754,0.08619126,9.634268,2.0,2017-01-26 09:12:51,NaN
0.51714754,0.08619126,9.634268,2.0,2017-01-26 09:12:52,NaN
0.5267244,0.095768064,9.634268,4.0,2017-01-26 09:12:53,NaN
0.51714754,0.076614454,9.643845,4.0,2017-01-26 09:12:54,NaN
0.5267244,0.08619126,9.634268,4.0,2017-01-26 09:12:55,NaN
0.5267244,0.076614454,9.643845,4.0,2017-01-26 09:12:56,NaN
0.5267244,0.08619126,9.634268,4.0,2017-01-26 09:12:57,NaN
0.5267244,0.095768064,9.643845,4.0,2017-01-26 09:12:58,NaN
0.51714754,0.08619126,9.643845,4.0,2017-01-26 09:12:59,NaN
0.50757074,0.08619126,9.624691,4.0,2017-01-26 09:13:00,NaN
0.51714754,0.08619126,9.624691,4.0,2017-01-26 09:13:01,NaN
0.50757074,0.08619126,9.643845,4.0,2017-01-26 09:13:02,NaN
0.51714754,0.095768064,9.643845,4.0,2017-01-26 09:13:03,NaN
0.51714754,0.08619126,9.643845,2.0,2017-01-26 09:13:04,NaN
0.5267244,0.095768064,9.643845,2.0,2017-01-26 09:13:06,NaN
0.51714754,0.08619126,9.624691,2.0,2017-01-26 09:13:07,NaN
0.51714754,0.095768064,9.634268,2.0,2017-01-26 09:13:08,NaN
0.5267244,0.076614454,9.634268,2.0,2017-01-26 09:13:09,NaN
0.50757074,0.076614454,9.653421,2.0,2017-01-26 09:13:10,NaN
0.51714754,0.076614454,9.653421,4.0,2017-01-26 09:13:11,NaN
0.51714754,0.095768064,9.643845,4.0,2017-01-26 09:13:12,NaN
0.50757074,0.076614454,9.653421,4.0,2017-01-26 09:13:13,NaN
0.50757074,0.08619126,9.634268,4.0,2017-01-26 09:13:14,NaN
0.5267244,0.076614454,9.643845,4.0,2017-01-26 09:13:15,NaN
0.51714754,0.08619126,9.643845,4.0,2017-01-26 09:13:16,NaN
0.5267244,0.095768064,9.643845,4.0,2017-01-26 09:13:17,NaN
0.51714754,0.095768064,9.634268,2.0,2017-01-26 09:13:18,NaN
0.51714754,0.08619126,9.653421,2.0,2017-01-26 09:13:19,NaN
0.49799395,0.076614454,9.643845,2.0,2017-01-26 09:13:20,NaN
0.51714754,0.095768064,9.624691,2.0,2017-01-26 09:13:21,NaN
0.51714754,0.08619126,9.634268,2.0,2017-01-26 09:13:22,NaN
0.51714754,0.08619126,9.634268,2.0,2017-01-26 09:13:23,NaN
0.5267244,0.076614454,9.643845,2.0,2017-01-26 09:13:24,NaN
0.5267244,0.08619126,9.634268,2.0,2017-01-26 09:13:25,NaN
0.51714754,0.08619126,9.643845,2.0,2017-01-26 09:13:27,NaN
0.49799395,0.076614454,9.643845,2.0,2017-01-26 09:13:28,NaN
0.50757074,0.08619126,9.643845,2.0,2017-01-26 09:13:29,NaN
