ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.9864111,9.404425,0.2777274,0.0,-0.9544,9.7534,0.3597,-0.21249999,0.3473,-0.0655,0.142905,0.678616,0.687316,2017-02-04 15:40:52,46.21389967277892
-0.60333884,9.739613,0.38307226,0.0,-0.8197,9.7647,0.3839,0.2313,0.1595,0.018099999,0.144474,0.677836,0.690274,2017-02-04 15:40:53,57.42404673066311
-0.89064306,9.80665,0.2681506,0.0,-0.8304,9.7657995,0.331,-0.0717,0.1389,0.12979999,0.146194,0.679606,0.687138,2017-02-04 15:40:54,51.400268207239066
-0.8331822,9.77792,0.23942018,0.0,-0.6893,9.777699,0.302,-0.095199995,0.13669999,0.0902,0.155197,0.678319,0.687364,2017-02-04 15:40:55,49.43273486693346
-0.9672575,9.337387,0.15322891,0.0,-1.4836999,9.691899,0.18599999,0.4834,-0.0422,0.1964,0.115899,0.689997,0.679061,2017-02-04 15:40:56,58.600689639316805
-0.7565677,9.586384,0.4213795,0.0,-0.87229997,9.7659,0.18689999,-0.324,0.35439998,0.0484,0.147262,0.68499,0.681735,2017-02-04 15:40:57,44.006107524448446
-0.6799533,9.672575,0.16280572,0.0,-0.7102,9.779699,0.1484,-0.064399995,0.1347,-0.0503,0.162588,0.682884,0.678959,2017-02-04 15:40:58,53.64951548075603
-0.6703765,9.787497,0.2873042,0.0,-0.70699996,9.78,0.14209999,0.030299999,0.1638,0.0539,0.160271,0.683565,0.679684,2017-02-04 15:40:59,51.56072342158063
-0.78529817,9.720459,0.2873042,0.0,-0.7143,9.7793,0.1533,0.037699997,0.1449,-0.045399997,0.170074,0.680628,0.676933,2017-02-04 15:41:00,53.210074880330524
-0.6991069,9.720459,0.11492168,0.0,-0.7234,9.778999,0.129,-0.0414,0.18439999,-0.011299999,0.156275,0.684834,0.680333,2017-02-04 15:41:01,46.55102762588339
-0.6703765,9.739613,0.22026655,0.0,-0.71389997,9.7795,0.1422,-0.0018,0.1545,0.053799998,0.164777,0.682345,0.678305,2017-02-04 15:41:02,41.05111419478294
-0.6799533,9.749189,0.11492168,0.0,-0.7116,9.78,0.11669999,0.0154,0.154,0.020499999,0.165394,0.683148,0.67736,2017-02-04 15:41:03,42.08472429150881
-0.7086837,9.710882,0.10534488,0.0,-0.71239996,9.78,0.1131,-0.023,0.19319999,0.0633,0.162443,0.683989,0.67816,2017-02-04 15:41:05,43.31778373791338
-0.6895301,9.720459,0.11492168,0.0,-0.7079,9.780399,0.1077,-0.0177,0.1634,0.0491,0.157158,0.685423,0.679719,2017-02-04 15:41:06,41.231087460562634
-0.6799533,9.77792,0.1340753,0.0,-0.6938,9.7816,0.0858,0.026999999,0.2014,-0.095599994,0.162194,0.685065,0.677781,2017-02-04 15:41:07,50.3635617195783
-0.7278373,9.720459,0.10534488,0.0,-0.6861,9.782,0.103599995,-2.0E-4,0.1422,-0.0056,0.177135,0.680687,0.67371,2017-02-04 15:41:08,49.991867079131815
