ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-8.843033,1.5259552,3.129547,-0.022460938,0.076690674,0.005996704,291.0,-9.094175,1.6230097,3.2912323,0.046743393,-0.006991267,-0.17588878,-0.35499012,0.45406592,0.6086019,2017-02-13 10:57:16,43.915227796459405
-8.853592,1.5566864,3.1412048,-0.0019226074,0.0060577393,9.1552734E-4,291.0,-9.091548,1.6317611,3.294163,0.016553879,0.021709442,0.08174515,-0.35701543,0.45231012,0.6117301,2017-02-13 10:57:17,70.7468573469812
-8.954926,1.4691467,2.948578,-0.00944519,-0.0045318604,0.013320923,268.0,-9.201246,1.5415314,3.0217752,0.019185066,-0.03302622,0.0087099075,-0.36681792,0.46013018,0.60146666,2017-02-13 10:57:18,39.92716862979992
-8.982681,1.4876556,2.846756,0.009887695,0.015808105,-0.00944519,272.0,-9.171869,1.5838267,3.0884776,0.09515476,0.025472283,0.07851839,-0.36370862,0.45852757,0.60464597,2017-02-13 10:57:19,72.9724177026649
-8.9263,1.5211792,3.0492554,-0.011688232,-0.015533447,0.017593384,272.0,-9.1416025,1.5851716,3.1762748,-0.084516525,-0.033100843,0.024363995,-0.36208007,0.45492095,0.6079776,2017-02-13 10:57:20,76.55177716067699
-8.789093,1.5106964,3.255539,-0.008636475,-0.007583618,0.0045776367,268.0,-9.102466,1.5348018,3.3105721,0.011978149,-0.020220637,-0.050128937,-0.36012495,0.44890735,0.61067754,2017-02-13 10:57:21,77.7077965212307
-8.782074,1.5215454,3.2609253,-0.011886597,-0.0027008057,0.010269165,268.0,-9.109052,1.5277756,3.2956753,0.054027557,-0.019494653,-0.05851245,-0.36025068,0.45016864,0.6089208,2017-02-13 10:57:22,38.999653114807955
-8.837952,1.4676208,3.20195,-0.0019226074,0.0025939941,0.01902771,263.0,-9.086137,1.521148,3.3613412,-0.04532242,-0.06464517,1.7786026E-4,-0.35822737,0.44754043,0.61062676,2017-02-13 10:57:23,65.96508085685385
-8.761261,1.5130157,3.3148499,-0.002532959,0.004211426,-0.0013122559,268.0,-9.072839,1.5469073,3.3854196,6.904602E-4,-0.005538225,0.028332472,-0.35680902,0.4473019,0.61190844,2017-02-13 10:57:24,69.8781565008603
-8.840637,1.4688721,3.2778168,0.0027618408,0.010726929,-0.010879517,268.0,-9.066834,1.5350411,3.406837,0.025427818,0.008374453,0.05060029,-0.35632434,0.4464668,0.6119052,2017-02-13 10:57:25,52.11496952493283
-8.881149,1.4287567,3.2844238,-0.003753662,-0.0069885254,0.00579834,263.0,-9.077457,1.5050578,3.3918953,0.04335594,0.013313174,-2.9087067E-5,-0.35809976,0.44589913,0.6113623,2017-02-13 10:57:26,45.035249537824555
-8.781662,1.4883423,3.3475647,-0.002319336,-0.0027008057,0.0064086914,268.0,-9.051831,1.5298798,3.448799,0.03875923,0.013184905,0.06606722,-0.35584986,0.4444447,0.6135783,2017-02-13 10:57:27,43.82816717232406
-8.847458,1.4775696,3.3810577,-0.0076141357,0.009918213,0.0066070557,268.0,-9.041265,1.5507724,3.467135,-0.0027217865,0.003930092,0.02279377,-0.3546574,0.44434607,0.61449987,2017-02-13 10:57:28,38.57174005321198
-8.770889,1.5098724,3.394226,-0.004562378,-0.011260986,0.008850098,272.0,-9.0264845,1.5521463,3.504826,0.022717476,-0.0017009974,-0.11498308,-0.35404888,0.4426658,0.61615473,2017-02-13 10:57:29,72.53999168496442
-7.3560944,0.26159668,4.1651154,-0.06523132,-0.42807007,-0.9809265,235.0,-8.825738,0.76546115,4.2060437,2.0489893,0.857359,-1.5288,-0.35232726,0.40176728,0.61012775,2017-02-13 10:57:30,38.996605981088045
-3.264679,-0.7426605,8.414307,0.05632019,-1.7153625,0.15524292,171.0,-4.1119456,-0.5330672,8.886964,0.61649895,0.5123386,-0.1861496,-0.14998887,0.15618668,0.5800763,2017-02-13 10:57:31,51.87855554272527
0.004501343,-0.36270142,8.927124,-4.8828125E-4,0.0050354004,0.0015258789,189.0,-0.6329592,-0.46456927,9.775168,0.53307045,0.065169066,-0.20265484,-0.0382002,0.012076693,0.5898321,2017-02-13 10:57:32,61.68922176898978
-0.017654419,-0.34532166,8.949005,-0.002746582,-0.0010681152,0.0013275146,189.0,-0.119976796,-0.40840617,9.797408,0.09744569,0.017236352,-0.032117844,-0.020163879,-0.008040712,0.6170505,2017-02-13 10:57:33,63.41058897372836
-0.0011901855,-0.34217834,8.950348,-0.0015106201,0.004425049,0.0035552979,189.0,-0.04454726,-0.4001529,9.798382,0.03948703,0.02321127,0.003200531,-0.017315412,-0.011034465,0.62728965,2017-02-13 10:57:34,71.40323345076193
