ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.081,5.69,7.139,25.0,2017-03-06 08:32:04,-Infinity
1.96,2.616,9.213,28.0,2017-03-06 08:32:04,-Infinity
5.342,2.519,8.03,33.0,2017-03-06 08:32:04,-Infinity
6.276,1.844,7.026,24.0,2017-03-06 08:32:04,-Infinity
5.574,3.3,6.394,20.0,2017-03-06 08:32:04,-Infinity
5.885,2.745,7.844,16.0,2017-03-06 08:32:04,-Infinity
6.529,1.504,7.005,16.0,2017-03-06 08:32:04,-Infinity
5.26,2.487,6.867,20.0,2017-03-06 08:32:04,-Infinity
5.631,2.731,6.784,25.0,2017-03-06 08:32:04,-Infinity
6.118,2.568,8.068,24.0,2017-03-06 08:32:04,-Infinity
5.502,5.025,7.245,23.0,2017-03-06 08:32:05,-Infinity
5.013,4.178,8.056,17.0,2017-03-06 08:32:06,-Infinity
5.113,3.56,7.824,14.0,2017-03-06 08:32:07,-Infinity
4.664,3.398,8.013,19.0,2017-03-06 08:32:08,-Infinity
5.76,2.265,7.571,19.0,2017-03-06 08:32:09,-Infinity
6.104,2.215,7.615,22.0,2017-03-06 08:32:10,-Infinity
4.61,1.897,8.145,27.0,2017-03-06 08:32:11,-Infinity
3.766,2.94,7.943,36.0,2017-03-06 08:32:12,-Infinity
4.667,4.279,6.283,36.0,2017-03-06 08:32:13,-Infinity
-4.77,4.479,9.493,276.0,2017-03-06 08:32:14,-Infinity
1.99,3.997,8.318,51.0,2017-03-06 08:32:15,-Infinity
0.277,4.386,8.643,44.0,2017-03-06 08:32:16,-Infinity
2.09,4.164,8.347,52.0,2017-03-06 08:32:17,-Infinity
3.175,4.509,8.087,41.0,2017-03-06 08:32:19,-Infinity
3.385,4.114,8.116,36.0,2017-03-06 08:32:20,-Infinity
4.327,2.469,8.232,25.0,2017-03-06 08:32:21,-Infinity
2.718,4.849,8.158,23.0,2017-03-06 08:32:22,-Infinity
4.467,6.511,6.997,20.0,2017-03-06 08:32:23,-Infinity
