ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
5.391742,7.795521,-2.2697031,29.0,2017-04-14 13:13:01,-Infinity
5.391742,7.7572136,-2.4899697,29.0,2017-04-14 13:13:02,-Infinity
5.2768207,7.785944,-1.4556746,29.0,2017-04-14 13:13:03,-Infinity
7.7572136,5.803545,-2.8443117,41.0,2017-04-14 13:13:04,-Infinity
7.489063,5.554548,3.4380736,88.0,2017-04-14 13:13:05,-Infinity
3.3901896,6.0142345,5.554548,112.0,2017-04-14 13:13:06,-Infinity
6.7133417,6.7324953,0.076614454,64.0,2017-04-14 13:13:07,-Infinity
8.571242,5.1235914,-0.1340753,50.0,2017-04-14 13:13:08,-Infinity
0.1340753,8.24563,0.45968673,78.0,2017-04-14 13:13:09,-Infinity
-0.94810385,-2.6910827,9.730036,76.0,2017-04-14 13:13:10,-Infinity
-3.016694,-2.7006595,9.452309,23.0,2017-04-14 13:13:11,-Infinity
-3.7445314,-1.8387469,7.929596,17.0,2017-04-14 13:13:12,-Infinity
-0.34476504,3.8498764,9.902418,28.0,2017-04-14 13:13:13,-Infinity
2.1547816,1.388637,9.710882,15.0,2017-04-14 13:13:14,-Infinity
1.1971009,2.3080103,9.662998,20.0,2017-04-14 13:13:15,-Infinity
1.340753,0.7086837,9.624691,88.0,2017-04-14 13:13:17,-Infinity
1.3215994,0.7182605,9.730036,87.0,2017-04-14 13:13:18,-Infinity
1.2737153,0.7374141,9.787497,88.0,2017-04-14 13:13:19,-Infinity
1.283292,0.6895301,9.662998,25.0,2017-04-14 13:13:20,-Infinity
1.685518,4.5298295,8.178593,12.0,2017-04-14 13:13:21,-Infinity
0.80445176,-0.48841715,11.109096,52.0,2017-04-14 13:13:22,-Infinity
0.7661445,-0.48841715,10.132261,47.0,2017-04-14 13:13:23,-Infinity
-4.4244847,-2.7389667,4.7309427,404.0,2017-04-14 13:13:24,-Infinity
-3.2752678,8.418014,1.8483237,137.0,2017-04-14 13:13:25,-Infinity
-5.889736,6.9719152,-2.0015526,36.0,2017-04-14 13:13:26,-Infinity
-3.763685,-0.29688102,13.589489,23.0,2017-04-14 13:13:27,-Infinity
-2.72939,-2.1452048,9.423578,20.0,2017-04-14 13:13:28,-Infinity
2.920926,0.81402856,11.080365,18.0,2017-04-14 13:13:29,-Infinity
-8.848969,1.0151415,4.5298295,32.0,2017-04-14 13:13:30,-Infinity
-0.94810385,7.28795,-6.483498,19.0,2017-04-14 13:13:31,-Infinity
0.6607997,8.571242,-3.8307228,21.0,2017-04-14 13:13:32,-Infinity
0.35434186,8.66701,-4.5777135,21.0,2017-04-14 13:13:33,-Infinity
-9.270349,7.920019,-2.873042,22.0,2017-04-14 13:13:34,-Infinity
