ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.05746084,0.076614454,10.189722,0.028099801,0.014660766,-0.042760566,2.0,-0.0845,0.064399995,9.806,-4.0E-4,0.0016999999,-0.0391,0.004809,-0.002499,-0.985281,2017-04-15 15:05:21,19.68881647068475
-0.076614454,0.08619126,10.160992,-0.030543262,0.02321288,-0.02321288,2.0,-0.0491,0.0524,9.8063,-0.0372,0.0337,-0.0394,0.002919,-0.002216,-0.985689,2017-04-15 15:05:22,58.65922908186306
-0.076614454,0.095768064,10.160992,-0.030543262,0.021991149,-0.02321288,2.0,-0.0634,0.041899998,9.8063,-0.0030999999,0.033099998,-0.01,0.003551,-0.001649,-0.98543,2017-04-15 15:05:24,38.791102218815375
-0.08619126,0.095768064,10.170568,-0.02443461,0.021991149,-0.02565634,6.0,-0.080299996,0.0504,9.8061,0.0047999998,0.0359,0.0,0.004471,-0.001839,-0.985525,2017-04-15 15:05:25,60.17997444368661
-0.08619126,0.10534488,10.151415,-0.028099801,0.021991149,-0.02443461,6.0,-0.0821,0.055099998,9.8061,0.0066,0.040799998,-0.0099,0.004596,-0.002078,-0.986073,2017-04-15 15:05:26,39.6686768858649
-0.076614454,0.10534488,10.170568,-0.029321533,0.029321533,-0.02443461,2.0,-0.0552,0.0995,9.8059,0.037499998,-0.0345,0.058799997,0.003628,-0.00453,-0.985753,2017-04-15 15:05:27,55.67599530130462
-0.076614454,0.095768064,10.160992,-0.03176499,0.02443461,-0.02321288,6.0,-0.0678,0.0634,9.8062,0.0019999999,0.031999998,-0.0491,0.003958,-0.002601,-0.985576,2017-04-15 15:05:28,41.48922487325635
-0.08619126,0.18195933,10.208876,0.080634214,0.008552114,-0.06719518,6.0,-0.074999996,0.0846,9.8059,0.0067999996,-0.14209999,0.0,0.005513,-0.001724,-0.985392,2017-04-15 15:05:29,65.95754390233557
-0.06703765,0.11492168,10.170568,-0.02565634,0.02321288,-0.02443461,6.0,-0.0685,0.0517,9.8062,0.012499999,0.0245,-0.0492,0.003888,-0.002013,-0.985737,2017-04-15 15:05:30,44.236152085827705
-0.06703765,0.11492168,10.151415,-0.02687807,0.021991149,-0.02565634,4.0,-0.069,0.0539,9.8062,-0.0167,0.022599999,-2.0E-4,0.003939,-0.002107,-0.985242,2017-04-15 15:05:31,38.42392480275892
-0.095768064,0.10534488,10.151415,-0.02687807,0.02321288,-0.02565634,4.0,-0.067099996,0.0817,9.806,0.0106,0.0232,-0.0098,0.004085,-0.003522,-0.98522997,2017-04-15 15:05:32,38.094932187230086
-0.095768064,0.095768064,10.151415,-0.028099801,0.021991149,-0.02565634,4.0,-0.0734,0.092099994,9.8059,-0.0121,-0.0267,-1.0E-4,0.004495,-0.003985,-0.985226,2017-04-15 15:05:33,40.15169063443017
-0.08619126,0.08619126,10.160992,-0.02687807,0.02076942,-0.02565634,4.0,-0.4249,0.3141,9.792399,0.3524,-0.2767,0.0045,0.024092,-0.012084,-0.984946,2017-04-15 15:05:34,38.99259381499096
-0.08619126,0.12449849,10.141838,-0.02443461,0.02076942,-0.02321288,6.0,-0.120299995,0.0887,9.8055,0.046299998,0.0256,-0.0286,0.0068179998,-0.003408,-0.9852,2017-04-15 15:05:35,40.64960085862569
-0.095768064,0.11492168,10.160992,-0.029321533,0.02321288,-0.02443461,4.0,-0.0857,0.0602,9.806,0.010199999,-0.0033999998,0.029099999,0.00482,-0.002306,-0.986159,2017-04-15 15:05:36,39.30498635093162
-0.05746084,0.10534488,10.151415,-0.02687807,0.021991149,-0.02443461,2.0,-0.057499997,0.049399998,9.8063,8.0E-4,0.1546,-0.0103,0.003316,-0.001993,-0.98581797,2017-04-15 15:05:37,39.67620703534992
-0.06703765,0.11492168,10.141838,-0.028099801,0.02076942,-0.02565634,2.0,-0.057099998,0.048699997,9.8063,-0.0218,0.0296,-0.02,0.003149,-0.001879,-0.985051,2017-04-15 15:05:38,38.81056267462889
-0.076614454,0.11492168,10.151415,-0.028099801,0.02076942,-0.02443461,4.0,-0.071899995,0.081999995,9.806,-0.0041,0.0132,0.02,0.004331,-0.003487,-0.985026,2017-04-15 15:05:39,38.37037988463619
-0.076614454,0.10534488,10.170568,-0.028099801,0.021991149,-0.02565634,2.0,-0.067999996,0.059699997,9.8062,0.021399999,0.0067,0.0095999995,0.003945,-0.002399,-0.984878,2017-04-15 15:05:40,38.937606065261754
-0.06703765,0.076614454,10.199299,-0.028099801,0.021991149,-0.02443461,2.0,-0.072399996,0.0559,9.8062,0.0163,0.0105,0.0191,0.00413,-0.002169,-0.984903,2017-04-15 15:05:41,38.95673992912754
-0.095768064,0.11492168,10.170568,-0.029321533,0.02076942,-0.02443461,2.0,-0.0727,0.0821,9.806,0.0067999996,-0.0264,0.0196,0.004378,-0.003482,-0.98486,2017-04-15 15:05:42,38.38882789212995
-0.12449849,0.019153614,10.036493,0.20158553,0.02321288,-0.10629055,4.0,-0.1293,0.016999999,9.805699,-0.0030999999,0.1882,-0.0391,0.006644,2.68E-4,-0.985334,2017-04-15 15:05:43,38.57661360009257
-0.08619126,0.1340753,10.170568,-0.029321533,0.021991149,-0.02443461,4.0,-0.081,0.0559,9.8061,0.0154,0.039899997,-0.0101,0.00458,-0.002062,-0.983604,2017-04-15 15:05:44,41.22004483841866
0.24899697,0.02873042,10.0748005,-0.09040806,0.043982297,0.004886922,4.0,-0.0403,0.0335,9.8064995,0.24069999,-0.2902,-0.19649999,0.003488,-0.001652,-0.985621,2017-04-15 15:05:45,40.55754576016974
-0.095768064,0.05746084,10.141838,-0.02687807,0.02076942,-0.02565634,4.0,-0.062699996,0.0663,9.8062,-0.0232,-0.0196,-0.0199,0.003704,-0.002817,-0.986746,2017-04-15 15:05:46,42.63671617351312
-0.095768064,0.076614454,10.170568,-0.02565634,0.02321288,-0.02443461,6.0,-0.0587,0.061899997,9.8062,-0.0075999997,0.023899999,-0.0106,0.003485,-0.002611,-0.985811,2017-04-15 15:05:47,43.02288078057926
-0.06703765,0.076614454,10.189722,-0.028099801,0.02321288,-0.02443461,6.0,-0.0814,0.074999996,9.806,0.055,0.059299998,-0.0103,0.004751,-0.00305,-0.984847,2017-04-15 15:05:48,57.308816690248044
-0.095768064,0.10534488,10.151415,-0.028099801,0.021991149,-0.02321288,4.0,-0.0625,0.052699998,9.8063,-0.0234,0.0041,0.0093,0.003614,-0.002087,-0.984336,2017-04-15 15:05:49,40.43286613794288
-0.08619126,0.11492168,10.160992,-0.028099801,0.021991149,-0.02565634,4.0,-0.0717,0.0874,9.8059,-0.005,0.0232,-0.0099,0.004295,-0.003465,-0.984321,2017-04-15 15:05:50,56.745228507767045
-0.076614454,0.095768064,10.151415,-0.029321533,0.021991149,-0.02565634,2.0,-0.0734,0.1007,9.8057995,0.0074,0.0132,-0.0196,0.00459,-0.004398,-0.984312,2017-04-15 15:05:51,50.263333242229166
-0.076614454,0.11492168,10.160992,-0.028099801,0.02076942,-0.02443461,2.0,-0.0751,0.0973,9.8057995,-4.9999997E-4,0.0069,2.0E-4,0.0046469998,-0.00421,-0.984315,2017-04-15 15:05:52,43.48210155102631
