ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-27 14:02:56,-6.3738795366970535
0.0,0.0,0.0,-0.7238806,-1.466951,-0.64605546,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-27 14:02:56,53.78751258484348
-0.191,0.436,9.987,0.0031982942,-0.0010660981,-0.0010660981,120.0,0.002580136,0.008122295,0.02881527,-0.0035438975,0.0138204545,0.96853864,2017-05-27 14:02:57,48.51885998367781
-0.207,0.43,10.005,-0.0021321962,0.0031982942,0.0,120.0,-0.018831685,-0.0036439002,0.0377903,5.8877404E-4,0.014249366,0.8554285,2017-05-27 14:02:58,21.245016775853408
-0.196,0.424,9.996,0.0031982942,0.0021321962,0.0,120.0,-0.011649087,-0.02040334,0.038388252,0.0029722594,0.013948361,0.7563883,2017-05-27 14:02:59,21.19898676994311
-0.19,0.433,9.994,0.0,0.0,-0.0010660981,120.0,-8.75175E-4,-0.0012498647,0.04317856,0.0036835487,0.013777618,0.7218615,2017-05-27 14:03:00,55.520965431006715
-0.2,0.415,10.009,-0.0031982942,0.0031982942,0.0,120.0,0.0045117736,-0.016812176,0.05574894,0.0036835487,0.013777618,0.7218615,2017-05-27 14:03:01,52.52985081480661
-0.19,0.434,10.017,0.0,-0.0010660981,0.0,120.0,0.0021176487,-0.007833913,0.021629333,0.0039353142,0.013707831,0.709066,2017-05-27 14:03:02,57.53877110865513
-0.2,0.42,10.01,0.0021321962,0.0010660981,0.0,120.0,-0.003269285,-0.02160056,0.056344032,0.0039432426,0.013705552,0.70865804,2017-05-27 14:03:03,18.526598481638487
-0.21,0.42,10.0,-0.0053304904,0.0031982942,0.0,120.0,-0.0038678497,-0.019206375,0.040781975,0.0039432487,0.01370555,0.70865774,2017-05-27 14:03:04,38.04498018231615
-0.204,0.421,10.009,0.0031982942,0.0,0.0,120.0,-0.006860599,-0.015016526,0.041380882,0.0039432487,0.01370555,0.70865774,2017-05-27 14:03:05,48.146494805227995
-0.195,0.41,10.012,-0.0063965884,0.0031982942,0.0,120.0,-0.008656248,-0.022199124,0.034197807,0.0039432487,0.01370555,0.70865774,2017-05-27 14:03:06,29.31510509494993
-0.184,0.409,10.018,0.0,0.0021321962,0.0,120.0,-0.017634511,-0.01741071,0.025819778,0.0039521977,0.013702972,0.70819694,2017-05-27 14:03:07,23.071637216554464
-0.208,0.404,10.022,0.0021321962,0.0,0.0,120.0,-0.014641762,-0.03656435,0.052752495,0.004056821,0.013672364,0.702781,2017-05-27 14:03:08,23.747125541804245
-0.201,0.419,10.008,0.0010660981,-0.0010660981,0.0,120.0,-0.0074592084,-0.022199169,0.038389206,0.004203516,0.01362798,0.69509697,2017-05-27 14:03:09,15.958663579678085
-0.208,0.412,10.012,-0.0053304904,0.0021321962,0.0,120.0,-0.015838876,-0.024593413,0.042580605,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:10,53.897869871250066
-0.209,0.403,10.017,-0.0021321962,0.0021321962,0.0,120.0,-0.013444677,-0.038360074,0.056346893,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:11,27.52012415255962
-0.212,0.417,10.014,-0.0074626864,0.0021321962,0.0,120.0,0.0021176338,-0.036564425,0.043777466,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:12,43.96854681770413
-0.2,0.413,10.015,0.0031982942,0.0,0.0,120.0,-0.010451928,-0.031776026,0.041981697,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:13,44.604831708080795
-0.199,0.401,10.021,0.0021321962,0.0010660981,0.0,120.0,-0.0074591786,-0.048535436,0.052755356,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:14,50.589870480259535
-0.201,0.411,10.024,-0.0010660981,-0.0031982942,0.0,120.0,-0.005663529,-0.025790527,0.044974327,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:15,56.44494233537988
-0.211,0.401,10.008,0.0,0.0010660981,0.0,120.0,-0.017634526,-0.038360074,0.028813362,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:16,49.78022972416995
-0.204,0.409,10.009,-0.0021321962,-0.0010660981,0.0,120.0,-0.01943019,-0.031177476,0.027018547,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:17,34.37623464299442
-0.218,0.411,10.004,0.0021321962,0.0,0.0,120.0,-0.018233076,-0.044345587,0.043777466,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:18,61.180195832866666
-0.202,0.407,10.017,0.0042643924,0.0,0.0,120.0,-0.0116490275,-0.038360074,0.044376373,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:19,58.178027262071694
-0.219,0.387,9.996,-0.0010660981,-0.0021321962,0.0,120.0,-0.005663529,-0.030578926,0.041981697,0.004219263,0.013623117,0.6942659,2017-05-27 14:03:20,27.322955737930638
