ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.509,1.426,9.864,0.27923584,0.15707397,2.5480957,0.0,1.5783081,1.0746613,9.947708,0.7036743,0.0050354004,-0.16165161,0.09030151,0.028411865,0.95310974,2017-06-12 12:10:15,69.3752192998657
3.246,1.197,9.835,0.122161865,0.06980896,0.0,0.0,3.1671143,0.897171,9.50209,0.016113281,0.27667236,0.14274597,-0.15744019,-0.052490234,-0.98509216,2017-06-12 12:10:17,68.46425407366286
3.629,0.612,9.625,-0.20942688,-0.017440796,0.017440796,0.0,3.508133,1.0550385,9.4049835,0.18209839,-0.4548645,-0.004333496,-0.17599487,-0.05581665,-0.98265076,2017-06-12 12:10:18,69.2645562808155
3.198,-0.258,9.854,-0.03489685,0.0,-0.13961792,0.0,3.6007538,-0.21403503,9.341507,-0.22923279,-0.18901062,0.26605225,0.18237305,-0.017456055,0.9824219,2017-06-12 12:10:19,68.80007348253227
2.576,-0.766,10.755,-0.06980896,0.017440796,-0.3490448,0.0,2.9423828,-1.2873535,9.526169,0.2977295,1.1559448,-0.6325226,0.14103699,-0.079422,0.98184204,2017-06-12 12:10:20,70.6590907341078
3.562,0.814,8.284,-0.087249756,-0.017440796,0.15707397,0.0,2.225357,0.40385437,9.547134,0.87353516,0.1688385,-1.7243805,0.1156311,0.009765625,0.988739,2017-06-12 12:10:21,70.92103719164187
2.719,-0.306,10.19,-0.2617798,0.122161865,0.17451477,0.0,2.991394,0.2757721,9.66481,-0.27789307,-0.57585144,0.3085327,0.15005493,0.0037994385,0.98646545,2017-06-12 12:10:22,69.03838086157035
3.17,0.105,9.72,-0.087249756,-0.017440796,0.0,0.0,3.0721283,0.090927124,9.509949,0.026763916,0.040481567,0.031906128,0.15551758,-0.006500244,0.9852905,2017-06-12 12:10:23,68.56364073077289
2.528,0.287,10.008,0.0,0.0,-0.13961792,0.0,2.7296295,0.29707336,9.644913,-0.03475952,-0.03425598,-7.6293945E-5,0.13819885,0.002746582,0.98651123,2017-06-12 12:10:24,67.14232913302583
2.691,0.66,9.931,-0.06980896,0.0,0.06980896,0.0,2.5366974,0.598938,9.621597,-0.086013794,0.011016846,-0.004211426,0.13040161,0.01966858,0.98791504,2017-06-12 12:10:25,67.22930711572394
