ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.383,3.639,8.312,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-30 20:42:28,42.57669073167544
-0.536,-0.383,10.075,1.0,1.0845113,-0.8761752,9.939207,-1.6585113,0.45517522,0.32679272,0.04951648,-0.048948064,0.9925805,2017-08-30 20:42:29,69.06338371626808
1.11,0.498,9.692,2.0,2.1330924,-0.59352595,9.858971,-1.2140924,1.0145259,-0.39697075,0.08768567,-0.06680214,0.9231343,2017-08-30 20:42:30,59.53110852316928
0.306,-0.421,9.96,1.0,-0.06130633,-0.8676261,10.55098,0.36730632,0.44662607,-0.5909796,-0.005100728,0.04079633,-0.98023206,2017-08-30 20:42:31,55.09328562256983
0.651,-0.459,9.921,1.0,0.5518131,-0.4200031,9.868209,-0.13081312,-0.07799691,0.5127907,0.017617077,-0.03032606,0.9228386,2017-08-30 20:42:32,62.54597845309099
0.0,0.957,9.921,2.0,0.7685055,1.8901138,9.589364,0.11249447,-0.9331138,0.33163548,0.10174646,0.024404295,0.5791273,2017-08-30 20:42:33,66.13591471676736
0.996,0.153,9.615,2.0,0.3690912,1.0320905,9.901896,-0.17809121,0.23190951,0.05810356,0.048581377,0.025987793,0.73993397,2017-08-30 20:42:34,62.2089137127617
0.727,0.229,9.96,2.0,0.6992803,0.042717393,10.151335,0.06671965,0.1862826,-0.2683344,0.030239949,-0.016493501,0.8465777,2017-08-30 20:42:35,37.727742072570784
0.919,0.306,9.845,2.0,0.8241706,0.23774101,9.919549,0.056829393,0.030258998,0.0014505386,0.04075284,-0.014077835,0.8169052,2017-08-30 20:42:36,38.16927986145802
0.919,0.306,9.845,2.0,0.8985764,0.27720085,9.883111,0.02042365,0.028799146,-1.1062622E-4,0.043106206,-0.019745981,0.74514836,2017-08-30 20:42:37,34.95077084754155
0.919,0.268,9.883,2.0,0.9173765,0.2795129,9.883352,0.0016235113,-0.011512905,-3.5190582E-4,0.043340977,-0.021422558,0.7275458,2017-08-30 20:42:38,28.546268276304417
0.919,0.306,9.845,2.0,0.9265549,0.28728443,9.877394,-0.0075548887,-0.019284427,0.0056066513,0.044144917,-0.021101575,0.7331497,2017-08-30 20:42:39,31.255087449873873
0.919,0.306,9.883,2.0,0.91799414,0.27511904,9.879626,0.001005888,0.030880958,0.0033740997,0.043500043,-0.021060932,0.7362044,2017-08-30 20:42:40,32.5403255446148
0.919,0.306,9.883,2.0,0.91899073,0.2906658,9.882992,9.298325E-6,-0.022665799,8.583069E-6,0.043594316,-0.021461474,0.7213556,2017-08-30 20:42:41,33.443187668697114
0.919,0.268,9.883,2.0,0.9156068,0.2889261,9.876469,0.0033932328,0.0170739,0.0065317154,0.04348925,-0.021321459,0.7229493,2017-08-30 20:42:42,31.82723016052277
0.919,0.268,9.883,2.0,0.9264305,0.28290102,9.88372,-0.007430494,-0.014901012,-7.200241E-4,0.04399208,-0.021184739,0.73409796,2017-08-30 20:42:44,29.597569056380557
1.034,0.306,9.883,2.0,0.9251339,0.26846728,9.884607,0.031866133,0.075532734,-0.116607666,0.043537878,-0.021494776,0.73690075,2017-08-30 20:42:45,23.795400904272658
0.957,0.344,9.845,2.0,0.9487239,0.33323705,9.862201,0.04727608,0.01076296,0.020799637,0.046182606,-0.021119222,0.7192779,2017-08-30 20:42:46,20.423497457729912
0.957,0.344,9.883,2.0,0.956878,0.3427044,9.881329,1.2201071E-4,0.0012956262,0.0016717911,0.04685958,-0.020698389,0.7239851,2017-08-30 20:42:47,19.717269170211658
0.957,0.344,9.883,2.0,0.95736295,0.3451205,9.880433,-3.6293268E-4,-0.0011204779,-0.035432816,0.047015775,-0.020512534,0.72567695,2017-08-30 20:42:48,37.12600465249646
0.957,0.344,9.883,2.0,0.964679,0.34121057,9.8687725,-0.0076789856,0.0027894378,0.014227867,0.04732929,-0.020642519,0.72986376,2017-08-30 20:42:49,29.814788279263897
0.957,0.306,9.883,2.0,0.9562153,0.34373128,9.876813,7.8469515E-4,2.6872754E-4,-0.031812668,0.047225438,-0.019872732,0.73519725,2017-08-30 20:42:50,33.96003085369762
0.957,0.344,9.883,2.0,0.9663033,0.3222506,9.88045,-0.009303272,0.021749407,0.0025501251,0.046567224,-0.021624714,0.7261939,2017-08-30 20:42:51,34.96653750178851
0.957,0.344,9.883,2.0,0.9728368,0.3259055,9.882925,-0.015836775,0.01809451,7.534027E-5,0.046754204,-0.022062331,0.72100276,2017-08-30 20:42:52,32.282333874493006
0.957,0.344,9.921,2.0,0.9565556,0.33825463,9.8633375,4.4441223E-4,0.005745381,0.019662857,0.046662483,-0.021146018,0.72017527,2017-08-30 20:42:53,24.482736875863015
0.957,0.344,9.883,2.0,0.96196306,0.33528844,9.875211,-0.0049630404,-0.029288441,0.007789612,0.046775714,-0.02124725,0.72267324,2017-08-30 20:42:54,26.020059132088274
0.957,0.344,9.883,2.0,0.97418463,0.33629674,9.873632,-0.017184615,0.0077032745,0.009367943,0.047237583,-0.021685954,0.72193694,2017-08-30 20:42:55,34.869545991765484
0.957,0.344,9.883,2.0,0.96306056,0.34094867,9.877695,-0.0060605407,0.0030513406,0.00530529,0.046973918,-0.021131566,0.72181207,2017-08-30 20:42:56,33.95940457170247
0.957,0.344,9.845,2.0,0.9640246,0.3398914,9.874936,-0.007024586,-0.03389141,-0.029935837,0.047030352,-0.021108283,0.7232942,2017-08-30 20:42:57,29.905317889083594
0.996,0.306,9.845,2.0,0.9564761,0.3375105,9.874021,5.239248E-4,0.0064895153,0.008979797,0.047062814,-0.020057457,0.73608077,2017-08-30 20:42:58,44.607867219673174
0.996,0.344,9.883,2.0,0.9600844,0.33884418,9.882783,-0.0030843616,0.0051558316,2.1743774E-4,0.047141273,-0.020249695,0.7341187,2017-08-30 20:42:59,35.499735102031394
0.957,0.344,9.883,2.0,0.96748406,0.33227324,9.883009,-0.01048404,0.011726767,-8.583069E-6,0.04690392,-0.021379387,0.72490674,2017-08-30 20:43:00,33.765061168285236
0.957,0.344,9.883,2.0,0.97541136,0.32046756,9.87845,-0.018411338,0.02353245,0.00454998,0.047115188,-0.021424992,0.7346282,2017-08-30 20:43:01,30.688977560947393
0.957,0.306,9.883,2.0,0.96063805,0.32919434,9.876088,-0.003638029,-0.023194343,0.0069122314,0.0466893,-0.021033674,0.72840023,2017-08-30 20:43:03,37.146602477149145
0.957,0.344,9.883,2.0,0.95716536,0.3348146,9.87282,0.03883463,0.009185404,-0.027819633,0.046487156,-0.021344509,0.71910167,2017-08-30 20:43:04,37.826990750977764
0.957,0.344,9.845,2.0,0.9615267,0.32060814,9.881225,-0.0045266747,0.023391873,-0.036224365,0.046196476,-0.021811338,0.72185314,2017-08-30 20:43:05,42.19880564468308
0.957,0.344,9.883,2.0,0.95632434,0.33843186,9.870617,6.7567825E-4,0.0055681467,0.012383461,0.046456214,-0.021487497,0.71463174,2017-08-30 20:43:06,35.9431030946765
0.957,0.306,9.883,2.0,0.96546423,0.33148307,9.87753,-0.008464217,-0.025483072,0.005470276,0.046960436,-0.021059163,0.72915506,2017-08-30 20:43:07,36.78205514383718
