ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.8635406,0.94143677,9.404572,1.0,0.17453292,0.94557375,-1.0046526E14,-0.11274572,0.072356984,-0.29655215,0.072356984,-0.11274572,0.29655215,2017-11-18 23:05:44,42.14172813316534
3.0989075,0.73550415,9.836075,1.0,0.17453292,0.98248386,-1.0469387E-38,-0.14255983,0.061139077,-0.10326748,0.061139077,-0.14255983,0.10326748,2017-11-18 23:05:45,61.70715437425458
2.9714203,0.85317993,9.365356,1.0,0.17453292,0.98253936,-1.0469387E-38,-0.14910206,0.0586152,-0.09460042,0.0586152,-0.14910206,0.09460042,2017-11-18 23:05:46,68.52127099091236
2.9910278,0.86299133,9.345734,1.0,0.17453292,0.9826916,-1.8890782E31,-0.14937225,0.057653062,-0.09317352,0.057653062,-0.14937225,0.09317352,2017-11-18 23:05:47,65.5447416272962
3.0302582,0.8924103,9.355545,1.0,0.17453292,0.98234296,-1.0469387E-38,-0.15068816,0.058776457,-0.09402514,0.058776457,-0.15068816,0.09402514,2017-11-18 23:05:48,55.28989870384696
3.510788,1.7455902,9.286896,1.0,0.17453292,0.97896296,-1.0046526E14,-0.16368136,0.08611028,-0.086168475,0.08611028,-0.16368136,0.086168475,2017-11-18 23:05:49,54.27987287492752
3.2165833,1.6671295,9.237869,1.0,0.17453292,0.98200405,-1.0046526E14,-0.16168499,0.08864845,-0.040834203,0.08864845,-0.16168499,0.040834203,2017-11-18 23:05:50,64.94424322321188
2.961609,1.4219666,9.12999,3.0,0.17453292,0.9848506,-1.0469387E-38,-0.15335408,0.07505322,-0.030312039,0.07505322,-0.15335408,0.030312039,2017-11-18 23:05:51,55.626302342047005
2.6379852,1.1081543,9.492844,3.0,0.17453292,0.98891765,-1.0469387E-38,-0.13386306,0.059264645,-0.024704607,0.059264645,-0.13386306,0.024704607,2017-11-18 23:05:52,62.949393744597124
2.6674042,1.1179657,9.522263,3.0,0.17453292,0.9886124,-1.0469387E-38,-0.13259599,0.061006323,-0.036633264,0.061006323,-0.13259599,0.036633264,2017-11-18 23:05:53,58.69899316969221
2.6183777,1.1081543,9.483032,3.0,0.17453292,0.9884774,-1.0469387E-38,-0.13206793,0.06166931,-0.040833373,0.06166931,-0.13206793,0.040833373,2017-11-18 23:05:54,52.12616587151888
2.628189,1.068924,9.50264,3.0,0.17453292,0.9884754,-1.0469387E-38,-0.13152732,0.062472217,-0.041402563,0.062472217,-0.13152732,0.041402563,2017-11-18 23:05:55,50.50833900357131
2.6674042,1.068924,9.492844,3.0,0.17453292,0.9886672,-1.0469387E-38,-0.13209364,0.06063539,-0.037574198,0.06063539,-0.13209364,0.037574198,2017-11-18 23:05:56,66.20928793329801
2.657608,1.1081543,9.443802,3.0,0.17453292,0.98871064,-1.8890782E31,-0.13354672,0.059761893,-0.032328166,0.059761893,-0.13354672,0.032328166,2017-11-18 23:05:57,55.812045816075525
2.6379852,1.0983429,9.394775,3.0,0.17453292,0.98819757,-1.8890782E31,-0.13365188,0.062009107,-0.041924436,0.062009107,-0.13365188,0.041924436,2017-11-18 23:05:58,67.22693966258805
2.6772156,1.1473846,9.443802,3.0,0.17453292,0.9884761,-1.8890782E31,-0.1336697,0.06171037,-0.035203233,0.06171037,-0.1336697,0.035203233,2017-11-18 23:05:59,66.58569396890778
2.6477966,1.1081543,9.483032,3.0,0.17453292,0.98841727,-1.0469387E-38,-0.13365713,0.06155102,-0.037128843,0.06155102,-0.13365713,0.037128843,2017-11-18 23:06:00,39.47669554254306
2.6379852,1.1473846,9.463425,3.0,0.17453292,0.98818237,-1.0469387E-38,-0.13403542,0.061957475,-0.041126143,0.061957475,-0.13403542,0.041126143,2017-11-18 23:06:01,46.21441486172361
2.6477966,1.0787354,9.483032,3.0,0.17453292,0.98830104,-1.0469387E-38,-0.1329069,0.06191887,-0.04198603,0.06191887,-0.1329069,0.04198603,2017-11-18 23:06:02,64.71575793415509
2.6674042,1.0787354,9.492844,3.0,0.17453292,0.9880941,-1.0469387E-38,-0.1335206,0.06284283,-0.043510277,0.06284283,-0.1335206,0.043510277,2017-11-18 23:06:03,62.04987072457462
2.7066345,1.1277618,9.5516815,3.0,0.17453292,0.9880791,-1.0469387E-38,-0.13338447,0.06246881,-0.044787686,0.06246881,-0.13338447,0.044787686,2017-11-18 23:06:04,58.929730979163224
2.6379852,1.0983429,9.443802,3.0,0.17453292,0.9880885,-1.0469387E-38,-0.13350514,0.062290277,-0.0444686,0.062290277,-0.13350514,0.0444686,2017-11-18 23:06:05,67.04467555653426
2.6772156,1.0983429,9.473221,3.0,0.17453292,0.98810285,-1.0469387E-38,-0.13434894,0.061678115,-0.042413637,0.061678115,-0.13434894,0.042413637,2017-11-18 23:06:06,62.361073836797075
2.6968231,1.1277618,9.522263,3.0,0.17453292,0.9880932,-1.0469387E-38,-0.1347806,0.0627049,-0.039675254,0.0627049,-0.1347806,0.039675254,2017-11-18 23:06:07,63.834164555341914
2.687027,1.0983429,9.512451,3.0,0.17453292,0.9884307,-1.0469387E-38,-0.13391866,0.06093226,-0.036849324,0.06093226,-0.13391866,0.036849324,2017-11-18 23:06:08,52.2296983049071
2.687027,1.1179657,9.532059,3.0,0.17453292,0.9881888,-1.0469387E-38,-0.13443807,0.061824437,-0.03983697,0.061824437,-0.13443807,0.03983697,2017-11-18 23:06:09,51.130296426102475
2.6772156,1.0885315,9.532059,3.0,0.17453292,0.988298,-1.0469387E-38,-0.13306837,0.061638754,-0.041959144,0.061638754,-0.13306837,0.041959144,2017-11-18 23:06:10,64.16522444454189
2.7948914,1.0493164,9.384964,3.0,0.17453292,0.98794484,-1.0469387E-38,-0.13456115,0.061679408,-0.045320116,0.061679408,-0.13456115,0.045320116,2017-11-18 23:06:11,38.99775204080182
2.500702,0.8727875,10.149887,3.0,0.17453292,0.984683,-1.0469387E-38,-0.15991797,0.058198832,-0.03792901,0.058198832,-0.15991797,0.03792901,2017-11-18 23:06:12,59.67140068761961
