ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.92895025,3.083732,9.193734,23.0,2017-01-28 14:41:51,NaN
2.9113493,2.9113493,8.858546,28.0,2017-01-28 14:41:52,NaN
1.8674773,2.7868507,9.3182335,27.0,2017-01-28 14:41:53,NaN
0.48841715,3.8115692,8.63828,25.0,2017-01-28 14:41:54,NaN
-3.3423057,0.8714894,9.203311,20.0,2017-01-28 14:41:55,NaN
-6.895301,0.15322891,7.699753,6.0,2017-01-28 14:41:56,NaN
0.92895025,0.6991069,9.595961,14.0,2017-01-28 14:41:57,NaN
0.9576807,0.7086837,9.595961,14.0,2017-01-28 14:41:58,NaN
0.9576807,0.7086837,9.605537,14.0,2017-01-28 14:41:59,NaN
0.9576807,0.7086837,9.615114,14.0,2017-01-28 14:42:00,NaN
0.94810385,0.7182605,9.595961,14.0,2017-01-28 14:42:01,NaN
0.93852705,0.6991069,9.615114,14.0,2017-01-28 14:42:02,NaN
0.9576807,0.6991069,9.615114,14.0,2017-01-28 14:42:03,NaN
0.94810385,0.6991069,9.605537,14.0,2017-01-28 14:42:04,NaN
0.94810385,0.7182605,9.605537,14.0,2017-01-28 14:42:05,NaN
0.9576807,0.6991069,9.615114,14.0,2017-01-28 14:42:07,NaN
0.94810385,0.6991069,9.624691,14.0,2017-01-28 14:42:08,NaN
0.94810385,0.6991069,9.615114,14.0,2017-01-28 14:42:09,NaN
0.93852705,0.7086837,9.605537,14.0,2017-01-28 14:42:10,NaN
0.93852705,0.6991069,9.615114,14.0,2017-01-28 14:42:11,NaN
0.94810385,0.6991069,9.615114,14.0,2017-01-28 14:42:12,NaN
0.93852705,0.6991069,9.624691,14.0,2017-01-28 14:42:13,NaN
0.94810385,0.7086837,9.615114,14.0,2017-01-28 14:42:14,NaN
0.94810385,0.6991069,9.615114,14.0,2017-01-28 14:42:15,NaN
0.94810385,0.6991069,9.624691,14.0,2017-01-28 14:42:16,NaN
0.93852705,0.6991069,9.615114,14.0,2017-01-28 14:42:17,NaN
0.9576807,0.7086837,9.605537,14.0,2017-01-28 14:42:18,NaN
0.93852705,0.7086837,9.615114,14.0,2017-01-28 14:42:19,NaN
0.94810385,0.6991069,9.615114,14.0,2017-01-28 14:42:20,NaN
0.93852705,0.6895301,9.615114,14.0,2017-01-28 14:42:21,NaN
0.93852705,0.7086837,9.624691,14.0,2017-01-28 14:42:22,NaN
0.92895025,0.7086837,9.634268,14.0,2017-01-28 14:42:23,NaN
0.93852705,0.6991069,9.624691,14.0,2017-01-28 14:42:24,NaN
0.92895025,0.6895301,9.634268,14.0,2017-01-28 14:42:25,NaN
