ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
1.35,-0.134,9.787,20.0,2017-06-04 11:33:28,5.619906495116056
1.312,-0.143,9.768,17.0,2017-06-04 11:33:29,23.93052240892896
1.312,-0.134,9.768,19.0,2017-06-04 11:33:30,23.924444709402373
1.34,-0.172,9.749,16.0,2017-06-04 11:33:31,22.019569162062545
1.331,-0.114,9.749,19.0,2017-06-04 11:33:32,20.531234799841155
1.331,-0.114,9.739,17.0,2017-06-04 11:33:33,20.954281722337996
1.331,-0.181,9.759,19.0,2017-06-04 11:33:34,22.32628884275766
1.34,-0.181,9.749,17.0,2017-06-04 11:33:35,21.209207964092847
1.312,-0.162,9.739,19.0,2017-06-04 11:33:36,20.054369178376383
1.34,-0.153,9.778,17.0,2017-06-04 11:33:37,19.360589545039208
1.331,-0.172,9.768,19.0,2017-06-04 11:33:38,22.168177003013867
1.331,-0.143,9.768,19.0,2017-06-04 11:33:39,29.0015368466441
1.331,-0.143,9.759,16.0,2017-06-04 11:33:40,23.838241286132074
1.321,-0.181,9.768,16.0,2017-06-04 11:33:41,26.850696293911483
1.35,-0.153,9.787,19.0,2017-06-04 11:33:42,20.595863424694542
1.273,-0.191,9.749,19.0,2017-06-04 11:33:43,35.036353677822774
1.283,-0.124,9.778,19.0,2017-06-04 11:33:44,24.194668534181805
1.254,-0.162,9.768,20.0,2017-06-04 11:33:45,31.824951767946295
1.273,-0.143,9.768,22.0,2017-06-04 11:33:46,20.082424367151717
1.292,-0.153,9.749,19.0,2017-06-04 11:33:48,18.01938048360437
1.283,-0.181,9.749,19.0,2017-06-04 11:33:49,19.37667726912926
1.283,-0.153,9.816,20.0,2017-06-04 11:33:50,20.236221472181203
1.264,-0.162,9.768,19.0,2017-06-04 11:33:51,28.662232842337716
1.254,-0.153,9.778,19.0,2017-06-04 11:33:52,17.088323712741282
1.273,-0.181,9.797,17.0,2017-06-04 11:33:53,19.943910550959632
1.273,-0.153,9.749,19.0,2017-06-04 11:33:54,25.505042392892307
1.273,-0.143,9.739,19.0,2017-06-04 11:33:55,21.772264043481037
1.264,-0.172,9.807,19.0,2017-06-04 11:33:56,22.375407928849363
1.264,-0.153,9.778,19.0,2017-06-04 11:33:57,16.715922343653702
1.254,-0.124,9.778,19.0,2017-06-04 11:33:58,20.37500420074689
1.264,-0.153,9.778,20.0,2017-06-04 11:33:59,30.167069738502637
1.254,-0.162,9.787,22.0,2017-06-04 11:34:00,26.88978287366219
1.149,-0.268,9.72,20.0,2017-06-04 11:34:01,28.931470907425325
1.187,-0.191,9.826,17.0,2017-06-04 11:34:02,31.257607426635214
1.216,-0.124,9.768,19.0,2017-06-04 11:34:03,36.63956147796118
1.197,-0.095,9.778,19.0,2017-06-04 11:34:04,20.44833632839783
1.216,-0.143,9.72,17.0,2017-06-04 11:34:05,20.662567507683193
1.177,-0.095,9.73,19.0,2017-06-04 11:34:06,18.55218562434962
1.197,-0.124,9.797,17.0,2017-06-04 11:34:07,25.516715300044176
1.225,-0.086,9.778,15.0,2017-06-04 11:34:08,17.382369168608584
1.206,-0.105,9.778,20.0,2017-06-04 11:34:09,36.18655638871361
1.235,-0.105,9.787,17.0,2017-06-04 11:34:10,21.241863401502226
1.197,-0.105,9.807,19.0,2017-06-04 11:34:11,23.07224351759769
1.235,-0.162,9.787,20.0,2017-06-04 11:34:12,17.957646425484263
1.235,-0.086,9.787,19.0,2017-06-04 11:34:13,29.06205051411213
1.187,-0.095,9.778,19.0,2017-06-04 11:34:14,40.20662793833654
1.225,-0.086,9.797,20.0,2017-06-04 11:34:15,24.994696017680297
1.187,-0.124,9.807,19.0,2017-06-04 11:34:16,29.982652998485158
1.206,-0.114,9.835,20.0,2017-06-04 11:34:17,35.400874047187706
1.206,-0.143,9.807,20.0,2017-06-04 11:34:18,19.500994632556534
1.187,-0.086,9.807,20.0,2017-06-04 11:34:19,21.217162547669123
1.206,-0.095,9.768,19.0,2017-06-04 11:34:20,26.79405714261894
1.216,-0.124,9.778,20.0,2017-06-04 11:34:21,30.439751818912107
1.197,-0.114,9.768,20.0,2017-06-04 11:34:22,26.614438532193358
1.187,-0.134,9.778,20.0,2017-06-04 11:34:23,21.03620009949917
1.197,-0.114,9.778,17.0,2017-06-04 11:34:24,14.018076356392386
1.187,-0.134,9.826,19.0,2017-06-04 11:34:26,29.91075012299364
1.216,-0.076,9.759,20.0,2017-06-04 11:34:27,24.592510928428254
1.216,-0.114,9.739,19.0,2017-06-04 11:34:28,21.43063616584378
1.177,-0.124,9.807,19.0,2017-06-04 11:34:29,26.552847863660972
1.216,-0.105,9.778,17.0,2017-06-04 11:34:30,22.999939184641654
1.197,-0.134,9.768,20.0,2017-06-04 11:34:31,21.104022698929967
1.187,-0.124,9.826,20.0,2017-06-04 11:34:32,16.007006960652376
1.13,-0.086,9.739,20.0,2017-06-04 11:34:33,27.82343830665329
1.216,-0.143,9.835,23.0,2017-06-04 11:34:34,19.180498005960484
1.187,-0.134,9.759,22.0,2017-06-04 11:34:35,25.198882114682178
1.187,-0.162,9.759,20.0,2017-06-04 11:34:36,21.259734057334093
1.206,-0.134,9.749,16.0,2017-06-04 11:34:37,22.55333761940379
1.225,-0.124,9.739,19.0,2017-06-04 11:34:38,28.5498587406269
1.158,-0.095,9.778,20.0,2017-06-04 11:34:39,27.24354283915796
1.177,-0.105,9.816,17.0,2017-06-04 11:34:40,20.832933109911295
1.158,-0.134,9.826,19.0,2017-06-04 11:34:41,23.974953078126113
1.197,-0.114,9.787,20.0,2017-06-04 11:34:42,21.247945133239618
1.206,-0.095,9.797,20.0,2017-06-04 11:34:43,21.533622384756242
1.187,-0.124,9.797,20.0,2017-06-04 11:34:44,24.492613905862793
1.149,-0.114,9.759,20.0,2017-06-04 11:34:45,20.458728347139633
1.158,-0.181,9.759,19.0,2017-06-04 11:34:46,22.23670318146563
1.177,-0.124,9.826,22.0,2017-06-04 11:34:47,21.903590596119074
1.158,-0.124,9.787,20.0,2017-06-04 11:34:48,20.069003868840234
1.187,-0.143,9.797,22.0,2017-06-04 11:34:49,22.42596744215232
