ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.1276035,1.484405,8.379706,0.10121126,0.0489566,0.016229065,487.0,0.41980946,0.12304805,0.89923257,-0.018828452,0.008688316,-0.019852698,0.010832666,-0.2250315,-0.22932312,2017-07-24 20:09:47,38.82504497145328
4.5872903,0.7374141,8.628703,0.7483297,0.08461709,-0.07357669,469.0,0.48181045,0.07509236,0.87305206,-0.019730479,0.010909945,-0.021618724,-0.026165793,-0.23542354,-0.24486683,2017-07-24 20:09:47,38.050806897169565
6.4547677,-0.9768343,7.374141,0.79393727,-0.2685884,0.8131866,252.0,0.6963046,-0.12943804,0.7059785,0.20969999,-0.058856964,0.17712688,-0.047231115,-0.35488984,-0.03158155,2017-07-24 20:09:48,34.28405131109974
7.9583263,-0.5554548,4.7022123,3.1499498,-0.92162514,0.36968544,111.0,0.8058087,-0.2569834,0.533509,0.019306421,0.18471855,-0.115071565,-0.37628686,-0.36830273,-0.3952445,2017-07-24 20:09:49,43.15565103413357
3.0358477,0.45010993,9.308656,-0.004068618,-0.00852523,0.070576794,1059.0,0.31542355,0.043589216,0.94794935,0.0011845529,-4.94089E-4,-0.001018405,-0.014877062,-0.16199845,-0.23104335,2017-07-24 20:09:50,51.323373095301285
3.0550013,0.4309563,9.279925,-0.023077697,-0.0026666648,0.009938033,1059.0,0.31566742,0.044646394,0.94781893,-1.3253093E-4,-0.0025877208,-0.002807796,-0.016569218,-0.16027233,-0.23667857,2017-07-24 20:09:51,26.62978070131132
3.0550013,0.38307226,9.193734,-0.20323008,-0.09590959,0.3066116,1059.0,0.3134548,0.04461271,0.9485546,0.0030587018,0.0021914095,-0.0025603175,-0.020238286,-0.15921718,-0.26084036,2017-07-24 20:09:52,43.380454127041546
3.0550013,0.41180268,9.308656,-0.053725384,0.0050041513,-0.0035103718,1060.0,0.31307435,0.043990944,0.9487092,0.001521349,-8.814782E-4,-0.0017599463,-0.016209172,-0.15941504,-0.2370156,2017-07-24 20:09:53,17.974262451927615
3.0933087,0.4213795,9.337387,0.0074769445,0.007837304,-0.015206441,1062.0,0.31381595,0.046316173,0.94835347,-2.9057264E-5,-0.001441773,0.0034353733,-0.015730027,-0.16019723,-0.23698193,2017-07-24 20:09:54,45.00093470852618
3.0933087,0.45010993,9.289502,0.14947313,0.007983735,-0.046735566,1061.0,0.3131233,0.045142494,0.94863904,0.0014519691,-2.0703673E-4,-6.9975853E-4,-0.014415672,-0.15984659,-0.22724044,2017-07-24 20:09:55,29.38105705626631
