ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
9.3182335,-1.3599066,2.1547816,0.0,9.4488,-1.4245,2.2045,0.033999998,-0.1564,0.3116,-0.126255,-0.609637,-0.042685,2017-08-08 03:25:40,46.31544799854691
9.212888,-1.3982137,2.815581,0.0,9.3202,-1.3385,2.7405999,0.044999998,-0.1226,0.17189999,-0.107884,-0.590446,-0.030455,2017-08-08 03:25:41,49.99510409976621
9.251195,-1.2545617,2.5378537,0.0,9.3573,-1.3363999,2.6123998,0.0668,-0.055999998,0.0942,-0.110958,-0.595392,-0.033714,2017-08-08 03:25:42,27.278410525749184
9.232041,-1.3982137,2.566584,0.0,9.3417,-1.3251,2.6731,0.102,-0.0968,0.20019999,-0.113983,-0.592213,-0.039259,2017-08-08 03:25:43,44.615624413284294
9.212888,-1.1971009,2.681506,0.0,9.339399,-1.2573999,2.7135,0.0552,0.0316,0.022499999,-0.114791,-0.590315,-0.046492,2017-08-08 03:25:44,50.65210373570463
9.346964,-0.8714894,3.1028855,0.0,9.3221,-1.1873,2.8032,0.0824,-0.009,-0.3908,-0.11203,-0.58696,-0.049609,2017-08-08 03:25:45,36.841050170969154
9.270349,-0.8714894,2.777274,0.0,9.3609,-0.96639997,2.7584999,-0.45639998,-0.024,0.0265,-0.101685,-0.590775,-0.054046,2017-08-08 03:25:46,49.16458118743962
9.203311,-0.7182605,2.767697,0.0,9.1311,-0.88909996,3.4643,0.3126,0.2321,-0.7086,-0.139554,-0.551263,-0.123635,2017-08-08 03:25:47,36.61708150150058
9.078813,-1.043872,2.7389667,0.0,9.1303,-1.0924,3.4078999,0.1173,-0.1431,0.0047,-0.155092,-0.549716,-0.127447,2017-08-08 03:25:48,49.13150940036861
9.021352,-1.1971009,3.1890767,0.0,9.3063,-0.89989996,2.9582999,-0.058599997,-0.4043,0.2778,-0.142257,-0.573521,-0.117954,2017-08-08 03:25:50,47.92029885795245
9.030929,-1.532289,3.3423057,0.0,9.1016,-1.4636999,3.3449,0.18519999,-0.016999999,-0.059699997,-0.128395,-0.559436,-0.054123,2017-08-08 03:25:51,41.13658514160232
