ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.104477614,0.12473348,-0.06823028,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-25 13:55:58,21.52703301593464
5.818,-0.969,7.737,0.11940298,0.1119403,0.0053304904,80.0,0.076911926,0.09161687,-0.03279972,-0.33040813,-5.299393E-4,-0.92640746,2017-08-25 13:55:59,36.60725349054043
6.824,-2.122,6.35,-0.12899786,-0.029850746,0.020255864,80.0,-0.035602093,-0.19328642,-0.55494165,-0.40278783,0.04584035,-0.8995153,2017-08-25 13:56:00,29.89333344048575
5.775,-0.951,7.249,0.3891258,1.7057569,0.19509594,80.0,0.7203245,-0.089440465,-1.3946319,-0.25096866,0.0020955137,-0.9420665,2017-08-25 13:56:01,61.46452460836444
1.708,1.592,16.389,-0.9637527,-0.1076759,1.0842217,320.0,1.6408552,5.3224382,6.10106,-0.04540243,-0.12080911,0.9707297,2017-08-25 13:56:02,72.74285317390253
2.214,0.808,10.14,-0.0010660981,-0.0063965884,-0.0010660981,0.0,0.6459608,0.14956054,-0.17453957,-0.0018891897,-0.010631706,-0.9947347,2017-08-25 13:56:03,45.74350831581454
-0.032,0.509,10.05,0.018123668,0.0021321962,-0.0031982942,0.0,0.027239427,0.022374183,0.011479378,-0.0036100713,-0.012311365,-0.993651,2017-08-25 13:56:04,46.71214854362443
-0.071,0.493,10.021,0.0031982942,-0.0010660981,0.0,0.0,-0.0128490925,0.006061375,-0.019002914,-0.0037538211,-0.012359055,-0.9944493,2017-08-25 13:56:05,68.6259794350095
-0.079,0.481,10.005,0.0,-0.0010660981,0.0,0.0,-0.021003388,-0.0057571977,-0.030982018,-0.004218018,-0.012196121,-0.99774384,2017-08-25 13:56:07,40.1788522050655
-0.077,0.47,10.008,0.0,0.0,-0.0010660981,0.0,-0.022799045,-0.01473546,-0.005244255,-0.0044593373,-0.01210997,-0.9988553,2017-08-25 13:56:08,32.38210324978971
-0.07,0.468,10.0,0.0010660981,0.0031982942,0.0,0.0,-0.015017889,-0.017129615,-0.038163185,-0.004757278,-0.011996054,-0.99968857,2017-08-25 13:56:09,37.712512157143166
-0.074,0.462,10.017,-0.0010660981,0.0021321962,0.0,0.0,-0.0156164095,-0.025509283,-0.02200222,0.005497873,0.011675203,0.9990686,2017-08-25 13:56:10,33.5051282056711
-0.073,0.467,10.017,0.0021321962,0.0021321962,0.0,0.0,-0.026988871,-0.023115084,-0.030981064,0.005497873,0.011675203,0.9990686,2017-08-25 13:56:11,40.30302146154807
-0.064,0.471,10.011,-0.0031982942,0.0010660981,0.0,0.0,-0.0036453828,-0.013538301,-0.038163185,0.0059782527,0.011436672,0.9964949,2017-08-25 13:56:12,42.55008884322683
-0.065,0.483,10.008,0.0010660981,0.0,0.0,0.0,-0.012025088,-0.0195238,-0.0064401627,0.0060837404,0.011380909,0.99568814,2017-08-25 13:56:13,34.131397496474804
