ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.674256,5.057884,7.344636,0.075552866,-0.9595184,0.88072276,97.0,2.514116,5.459623,7.7486863,-0.48306,0.35150632,0.24378654,0.28937826,-0.14555827,-0.03263552,2016-11-25 06:57:57,34.059896454602395
2.712528,5.425056,8.088548,-0.17373514,0.27714556,-0.038221247,90.0,0.23315409,6.9066615,6.958021,-2.67193,1.7841935,-0.9870073,0.2959401,-0.24012315,-0.55797,2016-11-25 06:57:59,61.24325185316175
3.631056,4.368988,8.230872,0.031560868,-0.065014414,-0.03088925,100.0,2.057196,5.416082,7.9122953,-1.4793761,0.92510146,-0.23605274,0.17973611,-0.25353542,-0.52968717,2016-11-25 06:58:00,61.80782310230028
3.27106,4.499352,8.502364,0.04866886,0.22337759,0.07909075,99.0,2.5794234,4.8564086,8.119867,-0.64858055,0.2147326,-0.3549889,0.14223063,-0.25646132,-0.5208781,2016-11-25 06:58:01,59.99146854561826
1.6947321,4.202744,8.227284,-0.47923514,-0.08456642,0.31615874,92.0,1.2579465,5.2166605,8.208193,-1.0515296,0.49126434,-1.8609313,0.17651352,-0.22436948,-0.593331,2016-11-25 06:58:02,61.22560860971417
4.561544,3.338036,7.6113443,0.10732487,-0.09434242,-0.25573725,98.0,2.056839,4.834518,8.280535,-2.3396575,1.5837898,1.0961627,0.14873609,-0.23598275,-0.54709893,2016-11-25 06:58:03,60.83311093212684
8.041904,3.622684,5.225324,-0.32526314,-1.4263225,-1.3653132,97.0,5.3883004,4.994063,6.4958396,-2.6033716,1.5089188,1.3817437,-0.013094093,-0.41064933,-0.6407385,2016-11-25 06:58:05,61.33502074854114
4.9944963,3.38468,7.165236,1.9061089,0.12317358,-0.7738652,112.0,3.4272077,3.7213242,8.400975,-2.0672169,1.0650083,0.42365563,0.013243645,-0.26738378,-0.6755708,2016-11-25 06:58:06,63.50421129254242
5.086588,2.594124,7.844564,-0.007543139,-0.19699043,0.16951874,112.0,2.7743979,3.6712987,8.659948,-2.305014,0.84036654,0.88235974,0.04640075,-0.23730274,-0.64748645,2016-11-25 06:58:07,61.15441712023133
4.04248,1.735396,9.455576,-0.89227116,-0.9033064,0.7023108,110.0,2.112314,3.0578454,9.075136,-1.5881103,0.8906931,-0.014464579,0.08223775,-0.17473918,-0.49296865,2016-11-25 06:58:08,60.192243948395955
3.232788,3.021096,9.114717,-0.075975135,-0.5611464,0.52145475,102.0,1.4352801,3.5777123,9.017224,-1.9374399,0.82810855,0.09147651,0.103995875,-0.1715645,-0.58845955,2016-11-25 06:58:10,60.361409670532574
2.844088,2.307084,9.157772,0.08777286,0.24292958,-0.15064526,111.0,1.4575188,3.1810546,9.161164,-1.4021173,1.0031387,0.010567571,0.1024205,-0.14973542,-0.5066515,2016-11-25 06:58:11,59.809848024533
