ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.641,0.094,13.204,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 19:18:02,66.04214486546111
0.277,-0.106,9.637,0.04,0.042,0.015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 19:18:03,58.5446233916278
0.266,-0.099,9.611,0.039,0.042,0.014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 19:18:04,59.83997744305598
0.27,-0.119,9.59,0.04,0.042,0.014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 19:18:05,72.62146627974636
0.256,-0.101,9.619,0.039,0.042,0.013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 19:18:06,71.57018871340219
0.256,-0.118,9.611,0.037,0.041,0.014,1.0,0.045338742,0.17542021,9.804976,0.21066126,-0.2934202,-0.1939764,0.004613859,-0.008003581,-0.7137853,2017-04-19 19:18:07,72.89368461833377
0.253,-0.129,9.599,0.039,0.043,0.014,1.0,-0.32498753,0.5119476,9.787884,0.57798755,-0.6319476,-0.19988346,0.030179696,-0.0067805354,-0.7076331,2017-04-19 19:18:08,72.7696535474831
0.253,-0.128,9.584,0.04,0.042,0.015,1.0,-0.63583326,0.79400164,9.753752,0.8888333,-0.92200166,-0.16975212,0.05167287,-0.0051965923,-0.6990973,2017-04-19 19:18:09,66.80541096406648
0.253,-0.122,9.608,0.039,0.043,0.014,1.0,-0.82132506,0.9505225,9.725859,1.068325,-1.0585225,-0.13685894,0.06409731,-0.0032822816,-0.6902256,2017-04-19 19:18:10,62.224220125714865
0.268,-0.126,9.583,0.037,0.043,0.015,1.0,-0.9013963,0.9866317,9.715165,1.1693963,-1.1126317,-0.13216496,0.06829456,-5.46948E-4,-0.6787995,2017-04-19 19:18:11,72.27498929982544
0.251,-0.128,9.575,0.037,0.043,0.013,1.0,-0.880651,0.9233911,9.723281,1.136651,-1.0573912,-0.14228058,0.06517004,0.001875588,-0.66763365,2017-04-19 19:18:12,71.08580600209295
0.272,-0.117,9.585,0.039,0.043,0.014,1.0,-0.79158014,0.7893743,9.742723,1.0635802,-0.9063743,-0.15772343,0.056963496,0.0038042588,-0.6583905,2017-04-19 19:18:13,68.07908193074996
0.265,-0.12,9.621,0.039,0.042,0.015,1.0,-0.6742476,0.6442212,9.762211,0.9332476,-0.7602212,-0.13721085,0.04740599,0.004296115,-0.65697676,2017-04-19 19:18:14,68.85090592956354
0.258,-0.126,9.63,0.037,0.042,0.013,1.0,-0.51947665,0.47502452,9.781354,0.77747667,-0.6010245,-0.15135384,0.035696242,0.003940967,-0.6590411,2017-04-19 19:18:15,57.06970104529332
0.248,-0.126,9.6,0.039,0.042,0.013,1.0,-0.3704901,0.32486284,9.794263,0.62949014,-0.44386286,-0.18626308,0.024933452,0.0031448563,-0.6632658,2017-04-19 19:18:16,71.48388123955952
0.266,-0.126,9.603,0.037,0.043,0.014,1.0,-0.22087856,0.1962935,9.802197,0.48687857,-0.32229352,-0.19919777,0.014974452,0.0016752114,-0.6689182,2017-04-19 19:18:17,73.1445831710561
0.271,-0.136,9.629,0.039,0.043,0.013,1.0,-0.0955679,0.09093826,9.805763,0.36456788,-0.20893827,-0.18576336,0.006712509,4.2925338E-4,-0.6789517,2017-04-19 19:18:18,67.78481655602263
0.271,-0.118,9.602,0.039,0.043,0.014,1.0,0.016153948,0.0019789983,9.806637,0.25484604,-0.119979,-0.20463657,-4.9279723E-4,-6.675969E-4,-0.68731433,2017-04-19 19:18:19,66.75048052461717
0.258,-0.123,9.608,0.037,0.041,0.014,1.0,0.0976878,-0.055386808,9.806007,0.1653122,-0.082613185,-0.20400715,-0.00548646,-0.0016376085,-0.69248855,2017-04-19 19:18:20,71.92018352694288
0.262,-0.125,9.611,0.037,0.042,0.013,1.0,0.17743926,-0.10767171,9.804454,0.08456074,-0.017328292,-0.19345379,-0.010256312,-0.0026084185,-0.7006349,2017-04-19 19:18:21,69.37772346900466
0.25,-0.116,9.58,0.039,0.042,0.013,1.0,0.2248603,-0.13399792,9.803157,0.027139708,0.008997917,-0.20915699,-0.012925013,-0.0033302985,-0.7040743,2017-04-19 19:18:22,69.62448985620101
0.252,-0.124,9.594,0.039,0.043,0.014,1.0,0.26314282,-0.14726579,9.802013,-0.01114282,0.023265794,-0.20801353,-0.014823664,-0.004086041,-0.71140605,2017-04-19 19:18:23,68.88879147045279
0.253,-0.116,9.601,0.037,0.043,0.013,1.0,0.28924608,-0.15769275,9.801115,-0.041246086,0.035692744,-0.19811535,-0.016160391,-0.0045882026,-0.71377707,2017-04-19 19:18:24,66.48911293275312
0.258,-0.119,9.584,0.039,0.042,0.013,1.0,0.3044368,-0.16528817,9.80053,-0.046436816,0.046288162,-0.2165308,-0.01698511,-0.004853333,-0.7138032,2017-04-19 19:18:25,66.19933039535132
0.263,-0.124,9.644,0.039,0.045,0.013,1.0,0.31219536,-0.16432609,9.800302,-0.05619535,0.057326086,-0.17630196,-0.01726994,-0.005041598,-0.71880585,2017-04-19 19:18:26,69.39378339766431
0.257,-0.128,9.638,0.04,0.045,0.013,1.0,0.31659013,-0.15987223,9.800235,-0.05959013,0.031872228,-0.16223526,-0.017314494,-0.005225804,-0.7242022,2017-04-19 19:18:27,70.08403145039982
0.262,-0.126,9.625,0.037,0.043,0.013,1.0,0.31586015,-0.15717213,9.800302,-0.05986014,0.03717213,-0.1733017,-0.017201873,-0.005269581,-0.7254161,2017-04-19 19:18:28,69.23182506134964
0.258,-0.131,9.6,0.037,0.043,0.013,1.0,0.3117855,-0.15262286,9.800504,-0.053785503,0.021622866,-0.20050335,-0.016878182,-0.005336804,-0.72370887,2017-04-19 19:18:29,54.67922918679692
0.253,-0.124,9.638,0.037,0.045,0.013,1.0,0.30753934,-0.15321736,9.800629,-0.039539337,0.034217358,-0.1686287,-0.01677215,-0.005067742,-0.7277211,2017-04-19 19:18:30,54.97759275056733
0.27,-0.13,9.631,0.036,0.045,0.012,1.0,0.29899144,-0.14911735,9.800957,-0.028991431,0.019117355,-0.16995716,-0.016319554,-0.004893804,-0.7288674,2017-04-19 19:18:31,45.5163675338013
0.264,-0.117,9.63,0.037,0.043,0.013,1.0,0.29305068,-0.15175118,9.801096,-0.03505069,0.027751178,-0.17609596,-0.016191341,-0.004585934,-0.72898,2017-04-19 19:18:32,46.75389197805999
0.352,0.078,9.302,0.036,0.037,0.018,1.0,0.28997636,-0.13856955,9.801382,0.06202364,0.21656954,-0.49938202,-0.015585168,-0.005067225,-0.72464645,2017-04-19 19:18:33,73.9603182119223
0.313,-0.116,9.619,0.037,0.04,0.013,1.0,0.29422748,-0.13963658,9.801241,-0.07722749,-0.03936343,-0.16524124,-0.015787302,-0.005154318,-0.72564065,2017-04-19 19:18:34,66.55589440237712
0.315,-0.179,9.626,0.037,0.047,0.01,1.0,0.30127272,-0.14331317,9.800974,0.0137272775,-0.035686836,-0.17497349,-0.016167779,-0.005294057,-0.72441775,2017-04-19 19:18:35,68.03616224214369
0.25,-0.13,9.614,0.037,0.039,0.013,1.0,0.29112893,-0.13911891,9.80134,0.0028710663,0.019118913,-0.18334007,-0.015617293,-0.005178144,-0.72063535,2017-04-19 19:18:36,68.96047281771972
0.306,-0.132,9.632,0.037,0.043,0.013,1.0,0.29337844,-0.1431662,9.801215,0.012621552,0.0111662,-0.1692152,-0.015856551,-0.0050669857,-0.7224648,2017-04-19 19:18:37,56.17266785870471
0.295,-0.142,9.643,0.036,0.042,0.012,1.0,0.29490238,-0.14374374,9.801162,-0.023902386,0.012743741,-0.19816208,-0.015932238,-0.005102072,-0.7223494,2017-04-19 19:18:38,70.76205941362184
0.287,-0.128,9.603,0.036,0.045,0.013,1.0,0.29398543,-0.13960712,9.801248,-0.006985426,0.0116071105,-0.19824791,-0.01573299,-0.00528083,-0.7197679,2017-04-19 19:18:39,70.4623332671232
0.279,-0.136,9.623,0.036,0.043,0.013,1.0,0.29247645,-0.1393768,9.801296,-0.003476441,0.0163768,-0.16929626,-0.015678007,-0.0052101216,-0.72090787,2017-04-19 19:18:41,45.133945867725494
0.375,-0.175,9.661,0.036,0.046,0.012,1.0,0.29125333,-0.14815293,9.801204,0.08374667,-0.026847064,-0.14020348,-0.015944881,-0.00483863,-0.72115034,2017-04-19 19:18:42,44.73435588436932
