ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
2.633,9.615,-0.019,8.0,2017-05-09 19:47:40,-Infinity
1.982,9.653,0.095,8.0,2017-05-09 19:47:40,-Infinity
7.422,2.604,4.539,8.0,2017-05-09 19:47:41,-Infinity
8.456,4.443,-0.249,8.0,2017-05-09 19:47:42,-Infinity
8.763,3.869,-0.249,8.0,2017-05-09 19:47:43,-Infinity
9.107,3.639,-0.517,8.0,2017-05-09 19:47:44,-Infinity
9.222,3.639,-0.632,8.0,2017-05-09 19:47:45,-Infinity
9.107,3.524,-0.325,8.0,2017-05-09 19:47:46,-Infinity
9.184,3.677,-0.363,8.0,2017-05-09 19:47:47,-Infinity
9.107,3.524,-0.708,8.0,2017-05-09 19:47:48,-Infinity
9.107,3.447,-0.861,8.0,2017-05-09 19:47:49,-Infinity
9.414,3.524,-0.861,8.0,2017-05-09 19:47:50,-Infinity
8.992,3.715,-0.632,8.0,2017-05-09 19:47:52,-Infinity
8.878,3.792,-0.172,8.0,2017-05-09 19:47:53,-Infinity
9.031,3.677,-0.21,8.0,2017-05-09 19:47:54,-Infinity
9.261,3.562,-0.019,8.0,2017-05-09 19:47:55,-Infinity
9.069,3.639,-0.134,8.0,2017-05-09 19:47:56,-Infinity
9.146,3.447,-0.363,8.0,2017-05-09 19:47:57,-Infinity
9.031,3.715,-0.325,8.0,2017-05-09 19:47:58,-Infinity
8.992,3.447,-0.517,8.0,2017-05-09 19:47:59,-Infinity
9.261,3.447,-0.402,8.0,2017-05-09 19:48:00,-Infinity
9.299,3.524,-0.363,8.0,2017-05-09 19:48:01,-Infinity
9.107,3.371,-0.402,8.0,2017-05-09 19:48:02,-Infinity
9.222,3.409,-0.402,8.0,2017-05-09 19:48:03,-Infinity
9.184,3.332,-0.517,8.0,2017-05-09 19:48:04,-Infinity
9.107,3.371,-0.21,8.0,2017-05-09 19:48:05,-Infinity
9.222,3.371,-0.21,8.0,2017-05-09 19:48:06,-Infinity
