ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
4.673,0.249,7.881,1229.0,2017-05-11 13:55:59,NaN
5.008,-0.201,8.169,1228.0,2017-05-11 13:56:00,NaN
5.056,-0.067,7.709,1062.0,2017-05-11 13:56:01,NaN
5.219,-0.258,7.862,974.0,2017-05-11 13:56:02,NaN
5.401,-0.383,8.255,978.0,2017-05-11 13:56:03,NaN
5.257,0.574,7.719,1023.0,2017-05-11 13:56:04,NaN
5.056,0.105,8.226,1031.0,2017-05-11 13:56:05,NaN
5.123,0.258,8.226,1008.0,2017-05-11 13:56:06,NaN
5.056,-0.057,8.284,1012.0,2017-05-11 13:56:07,NaN
5.008,-0.181,8.255,1015.0,2017-05-11 13:56:08,NaN
4.903,-0.316,8.514,1001.0,2017-05-11 13:56:09,NaN
5.037,-0.402,8.111,982.0,2017-05-11 13:56:10,NaN
4.999,-0.45,8.236,983.0,2017-05-11 13:56:11,NaN
4.96,-0.402,8.322,978.0,2017-05-11 13:56:12,NaN
5.152,-0.785,8.447,933.0,2017-05-11 13:56:13,NaN
5.162,-0.718,7.968,1096.0,2017-05-11 13:56:14,NaN
5.162,-0.727,8.341,1105.0,2017-05-11 13:56:15,NaN
5.171,-0.919,8.15,1098.0,2017-05-11 13:56:16,NaN
4.922,-0.574,8.351,1160.0,2017-05-11 13:56:17,NaN
4.932,-0.526,8.169,1166.0,2017-05-11 13:56:18,NaN
4.941,-0.45,8.312,1188.0,2017-05-11 13:56:19,NaN
4.798,-0.43,8.293,1187.0,2017-05-11 13:56:20,NaN
4.807,-0.545,8.36,1188.0,2017-05-11 13:56:21,NaN
4.989,-0.469,8.399,1177.0,2017-05-11 13:56:22,NaN
5.008,-0.747,8.217,1094.0,2017-05-11 13:56:23,NaN
4.922,-0.689,8.427,1177.0,2017-05-11 13:56:24,NaN
5.066,-0.747,7.594,993.0,2017-05-11 13:56:25,NaN
5.19,-0.938,8.734,912.0,2017-05-11 13:56:27,NaN
5.133,-0.775,8.274,906.0,2017-05-11 13:56:28,NaN
5.104,-0.718,8.38,932.0,2017-05-11 13:56:29,NaN
4.893,-0.565,8.293,1075.0,2017-05-11 13:56:30,NaN
2.145,0.679,5.344,1115.0,2017-05-11 13:56:31,NaN
1.015,-7.728,6.723,1687.0,2017-05-11 13:56:32,NaN
1.359,-6.1,8.111,1871.0,2017-05-11 13:56:33,NaN
1.714,-6.55,8.686,1977.0,2017-05-11 13:56:34,NaN
1.676,-4.893,8.629,2175.0,2017-05-11 13:56:35,NaN
1.867,-4.817,8.992,2419.0,2017-05-11 13:56:36,NaN
1.972,-4.242,9.059,2460.0,2017-05-11 13:56:37,NaN
4.96,0.124,8.265,1529.0,2017-05-11 13:56:38,NaN
6.129,0.976,6.225,1050.0,2017-05-11 13:56:39,NaN
7.0,0.919,6.282,933.0,2017-05-11 13:56:40,NaN
5.832,0.392,6.627,1222.0,2017-05-11 13:56:41,NaN
5.784,0.057,7.632,1255.0,2017-05-11 13:56:42,NaN
6.129,-0.105,7.757,1231.0,2017-05-11 13:56:43,NaN
6.11,-0.325,7.537,1227.0,2017-05-11 13:56:44,NaN
5.899,-0.191,7.881,1180.0,2017-05-11 13:56:45,NaN
5.593,-0.201,7.431,1194.0,2017-05-11 13:56:46,NaN
5.631,-0.766,8.121,1244.0,2017-05-11 13:56:47,NaN
5.526,-0.411,7.795,1246.0,2017-05-11 13:56:48,NaN
5.238,-0.756,8.59,1198.0,2017-05-11 13:56:49,NaN
