ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
3.878,3.907,8.954,86.0,2017-06-02 18:10:09,19.488893569591866
5.564,5.324,5.851,86.0,2017-06-02 18:10:09,50.30534660984853
6.522,4.06,5.775,86.0,2017-06-02 18:10:10,58.87696177045505
6.636,3.715,5.66,86.0,2017-06-02 18:10:11,57.043901180153895
6.713,3.639,5.698,86.0,2017-06-02 18:10:12,56.449803847275994
6.598,3.601,5.889,86.0,2017-06-02 18:10:13,62.670025170637295
6.636,3.639,5.966,86.0,2017-06-02 18:10:14,67.6621686224097
6.675,3.639,5.775,86.0,2017-06-02 18:10:15,69.05688974195012
6.56,3.677,5.813,86.0,2017-06-02 18:10:16,66.54025410588113
6.483,3.562,6.234,86.0,2017-06-02 18:10:17,66.44071243815694
6.445,3.677,5.851,86.0,2017-06-02 18:10:18,61.64698880557371
6.407,3.715,6.119,86.0,2017-06-02 18:10:19,68.37861333504242
6.33,3.754,6.119,86.0,2017-06-02 18:10:20,69.74872034223544
6.024,3.945,6.387,86.0,2017-06-02 18:10:21,61.65548984206588
