ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.4540985,9.499484,1.0326939,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-04 22:22:07,-2.0958287835742695
3.6904876,6.1590605,4.5295234,8.0,2.6606898,9.05997,2.6472747,1.417259,-1.0158224,2.1575193,0.15100954,-0.61599827,-0.6829349,2017-06-04 22:22:08,-0.9860979788595081
9.171826,-2.1673706,3.852352,8.0,8.785447,-1.1324478,4.207596,0.20641422,-0.82121927,-0.5286126,-0.52624863,-0.065879144,-0.8260082,2017-06-04 22:22:09,9.697943571454818
9.643476,-1.8601654,2.609937,6.0,9.280071,-1.6536812,2.70481,0.011557579,-0.028037667,-0.109843254,-0.59189296,-0.10522704,-0.7497169,2017-06-04 22:22:10,-2.721538679277521
9.892072,-1.8658416,2.2713435,6.0,9.274827,-1.6351414,2.7339156,0.07879543,0.014991641,-0.067883015,-0.20277879,-0.56970954,-0.13371797,2017-06-04 22:22:11,-1.9128275795075256
9.847653,-1.5208404,2.466975,6.0,9.322991,-1.413109,2.6935737,0.03643799,0.0577631,-0.055078506,-0.18511383,-0.5684128,-0.1293023,2017-06-04 22:22:12,13.034660571070859
9.80795,-1.4367187,2.5008328,6.0,9.35592,-1.1859663,2.6889837,0.07411194,-0.009585738,-0.11388326,-0.17830034,-0.5754207,-0.1384912,2017-06-04 22:22:13,17.652726300128716
9.962979,-1.4641235,2.2421923,6.0,9.413594,-1.1449736,2.498734,0.12589264,0.058781505,-0.20560431,-0.16869757,-0.58351266,-0.12817903,2017-06-04 22:22:14,1.2119038905513633
9.34007,-2.573819,3.3858578,6.0,8.872124,-2.0902865,3.6175282,-0.027475357,-0.2710154,0.06370211,-0.20604344,-0.5163815,-0.13614161,2017-06-04 22:22:15,2.4535841653144024
9.658612,-1.5766113,2.7237325,8.0,9.215527,-1.270166,3.103407,0.076805115,0.08125627,-0.24297285,-0.1878586,-0.5493261,-0.15707213,2017-06-04 22:22:16,-1.1157477505031845
9.807004,-1.4272583,2.4190123,6.0,9.388825,-1.2713026,2.530639,0.03297043,0.07046282,-0.053050756,-0.19157743,-0.5781621,-0.14618836,2017-06-04 22:22:17,1.796953833245065
9.826856,-1.3384063,2.3089666,8.0,9.458458,-1.1269739,2.3319275,-0.011050224,0.001894474,0.0070869923,-0.18936953,-0.5874592,-0.15174218,2017-06-04 22:22:18,2.627476376981847
9.910977,-1.2004058,2.126514,8.0,9.50577,-1.001706,2.1925588,0.009191513,0.04030919,-0.015060186,-0.1886743,-0.59415257,-0.15824075,2017-06-04 22:22:19,1.1758198684481314
9.904355,-1.203244,2.1133354,6.0,9.513384,-0.9685669,2.17435,0.019594193,0.008773088,-0.017433882,-0.18268242,-0.59646136,-0.15201385,2017-06-04 22:22:20,-2.4747140345072145
9.866559,-1.2174194,2.1077025,6.0,9.518572,-0.9798948,2.1463892,-0.008561134,0.009381592,0.004065037,-0.18018498,-0.5984129,-0.14734772,2017-06-04 22:22:21,-2.4747140345072145
9.924222,-1.1739471,2.0108204,6.0,9.531714,-0.9326382,2.1087885,-0.008978844,0.006334543,0.007176161,-0.18953477,-0.59618926,-0.16255563,2017-06-04 22:22:22,-1.1509848186091869
9.925153,-1.1692169,1.9826107,6.0,9.551838,-0.8959443,2.0322552,0.0027093887,-0.01726818,-0.011960745,-0.18673624,-0.6012598,-0.16013837,2017-06-04 22:22:23,12.780387127553517
9.988492,-0.84312135,1.8217784,8.0,9.592051,-0.7016056,1.915906,0.0057048798,0.07229519,-0.02963233,-0.18245354,-0.6066848,-0.16563727,2017-06-04 22:22:24,4.107772333772099
10.020627,-0.56239015,1.6637702,6.0,9.638651,-0.4114518,1.7599713,0.0067920685,0.07972613,-0.053852677,-0.18002,-0.6147026,-0.1842039,2017-06-04 22:22:25,0.9582291736684224
10.10098,-0.1701172,1.2330167,6.0,9.716174,0.11239129,1.3242786,0.0068044662,0.043004923,-0.08835256,-0.15549698,-0.6395864,-0.18598227,2017-06-04 22:22:26,1.9207936443981153
10.056546,-0.32420045,1.2819208,6.0,9.729443,0.036847387,1.227587,-0.032764435,-0.078325324,0.061295748,-0.16090076,-0.64149934,-0.18523145,2017-06-04 22:22:27,-1.9022992232748617
10.115155,-0.0018737912,1.0467988,6.0,9.737911,0.11029505,1.153828,0.018304825,0.11897424,-0.07116628,-0.15513505,-0.6458361,-0.18282172,2017-06-04 22:22:28,-2.1511536695738798
10.084912,-0.012265027,0.8906732,6.0,9.7545395,0.2781975,0.9705386,-0.019395828,-0.022869945,-0.040833354,-0.1521883,-0.65372396,-0.18858874,2017-06-04 22:22:29,0.4015713814591812
10.0943575,0.06996459,0.7872171,6.0,9.767766,0.40199307,0.7742993,-0.020612717,-0.04330203,0.0031864047,-0.15032816,-0.66151464,-0.19105804,2017-06-04 22:22:30,-0.9268943088994465
10.142575,0.19378966,0.7157361,6.0,9.769018,0.4306024,0.742465,-0.0053682327,0.021864414,-0.012440145,-0.15417908,-0.6618664,-0.19707267,2017-06-04 22:22:31,-2.9030613027220813
10.090573,0.31100768,0.69033515,6.0,9.767011,0.5531761,0.68548596,0.0030975342,0.0058094263,-0.030964315,-0.14620274,-0.6663109,-0.19629431,2017-06-04 22:22:32,-2.1178742360846052
10.117047,0.939563,-0.065832965,6.0,9.727105,1.2457404,-0.044041056,0.025270462,-0.022627592,-0.027926728,-0.13514689,-0.6956873,-0.22142951,2017-06-04 22:22:33,-0.06839424530305466
8.737012,-3.991635,3.4770918,4.0,9.055366,-2.9017384,2.3980522,-0.49663544,-1.0877943,0.98725903,-0.21556826,-0.59089154,-0.05576544,2017-06-04 22:22:34,6.856018016002786
9.635922,-2.7184265,1.8368247,8.0,9.03419,-2.984297,2.3765023,0.48797703,0.50474143,-0.73599696,-0.26112896,-0.5509728,-0.08447472,2017-06-04 22:22:35,14.396533611134387
9.594342,-1.8308685,2.7068036,8.0,9.208406,-1.952919,2.7498624,0.008960724,0.5017164,0.28136778,-0.23288198,-0.5530023,-0.14235765,2017-06-04 22:22:36,0.9034624350566812
9.772031,-1.4631774,2.533749,8.0,9.348238,-1.3407416,2.6425846,0.031178474,0.09796226,-0.06050849,-0.20476855,-0.5676779,-0.15815184,2017-06-04 22:22:37,-0.24424599331418284
9.744626,-1.3705566,2.5027153,6.0,9.416423,-1.1811348,2.4710884,-0.022597313,0.010062218,0.07533097,-0.20000716,-0.57911295,-0.16184883,2017-06-04 22:22:38,12.956014573440802
