ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-1.331,5.834,7.969,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-29 18:44:24,-5.331787019201495
-1.176,5.809,8.081,0.011727079,-0.010660981,-0.012793177,30.0,0.011655927,-0.052829266,-0.017168045,0.30028388,0.0581471,0.0014557884,2017-06-29 18:44:25,20.46101736043198
-1.191,5.84,8.151,0.0053304904,0.0031982942,0.030916844,30.0,0.005112827,-0.030240536,-0.0020799637,0.30041924,0.054758135,0.003074386,2017-06-29 18:44:26,34.81916315882659
2.404,4.061,8.013,0.5042644,0.24413647,0.5607676,225.0,-0.30267358,0.051431656,-0.63131714,0.25308517,-0.05120368,0.51078856,2017-06-29 18:44:27,20.645164840053628
4.246,2.943,8.28,0.061833687,0.025586354,0.021321962,225.0,0.23166895,-0.3282616,-0.23179054,0.25383762,-0.07818403,0.57321703,2017-06-29 18:44:28,56.74731148202902
3.929,3.578,8.225,0.0,-0.03837953,0.03411514,225.0,0.024692535,-0.19607592,-0.21289921,0.27524015,-0.057893477,0.58214897,2017-06-29 18:44:29,59.430269665848726
8.058,-1.321,9.727,-0.16204691,-0.6119403,-3.8070362,225.0,4.935702,-6.8070526,1.9573145,0.46198395,0.005797317,0.33082083,2017-06-29 18:44:30,62.41851464909579
-0.524,0.067,10.032,-0.0031982942,0.0053304904,0.0031982942,225.0,0.025502563,0.031309307,0.048038483,0.005768132,0.024121713,-0.65124935,2017-06-29 18:44:31,44.510860651976955
-0.465,0.044,10.032,-0.0031982942,0.0031982942,-0.0010660981,225.0,0.0058499575,0.0035336465,0.06924629,0.0033133563,0.021567488,-0.6529688,2017-06-29 18:44:32,30.54915888738256
-0.451,0.043,10.02,-0.0042643924,0.0042643924,0.0010660981,225.0,0.007200539,0.0041321814,0.04706192,0.0032785803,0.021527167,-0.652969,2017-06-29 18:44:33,57.58228136535537
