ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-2.1547816,3.2944214,9.56723,0.19792034,-0.6963864,1.1166617,35.0,-1.2084,2.7168999,9.3449,-0.96739995,0.6317,0.43449998,0.123386,0.091184996,0.213654,2017-10-19 20:35:20,61.142230757379224
1.733402,2.4612393,9.346964,-0.55955255,0.29077184,0.50823987,30.0,6.1493998,2.4613,7.2316,-4.2799997,0.0477,2.2828,0.196042,-0.304726,0.176904,2017-10-19 20:35:21,46.41683445387664
1.5897499,1.1875241,9.3182335,0.04886922,0.09162979,0.043982297,10.0,3.9654,1.7150999,8.803599,-2.2842,-0.48839998,0.7181,0.063812,-0.216949,-0.11869,2017-10-19 20:35:22,38.32715532635935
1.2354081,1.283292,9.356541,-0.013439035,-0.002443461,0.004886922,15.0,1.9655999,1.6086999,9.4719,-0.6939,-0.2963,0.104499996,0.04463,-0.122764,-0.328014,2017-10-19 20:35:23,52.65254704215647
1.1587936,1.2641385,9.346964,0.004886922,0.0061086523,0.004886922,12.0,1.3457999,1.3749,9.616,-0.1572,-0.0875,-0.0459,0.038081,-0.090924,-0.38700598,2017-10-19 20:35:24,64.3613420170976
1.3024458,1.3694834,9.241618,-0.017104227,-0.002443461,0.002443461,12.0,1.3218,1.4159,9.6133995,-0.016099999,-0.107999995,0.0841,0.03959,-0.091012,-0.396135,2017-10-19 20:35:25,65.98188136512287
1.3503298,1.4077905,9.212888,-0.04886922,0.029321533,0.0036651916,12.0,1.263,1.4807999,9.6115,0.1099,-0.043899998,-0.1788,0.043366,-0.089813,-0.400984,2017-10-19 20:35:26,48.9856766472913
1.1300632,1.532289,9.251195,-0.028099801,0.002443461,0.0,12.0,1.1374999,1.4822999,9.6269,0.0167,0.081999995,-0.1546,0.045723,-0.08408,-0.404247,2017-10-19 20:35:27,59.500635950496104
1.2258313,1.6280571,9.251195,0.030543262,-0.02321288,0.013439035,12.0,1.2630999,1.6218,9.588699,-0.0078,0.043899998,-0.1173,0.049584,-0.093004,-0.404841,2017-10-19 20:35:28,39.17118042708474
1.1683705,1.5610195,9.423578,-0.0061086523,0.0061086523,0.008552114,12.0,1.1805999,1.5877,9.604899,-0.0056999996,-0.0208,-0.0841,0.049725,-0.088374,-0.404645,2017-10-19 20:35:29,51.978483026409315
1.13964,1.5227122,9.289502,0.014660766,-0.009773844,0.007330383,12.0,1.16,1.56,9.6119995,0.0045,-0.0036,-0.1008,0.048723,-0.086888,-0.406041,2017-10-19 20:35:31,62.7325612162108
1.2449849,1.5705963,9.232041,-0.02687807,0.0061086523,-0.008552114,12.0,1.2674,1.6544,9.5826,-0.0022,-0.046699997,-0.1309,0.050703,-0.094081,-0.407943,2017-10-19 20:35:32,49.901840154156226
3.5338416,1.982399,7.728483,0.13683382,-0.64873886,-0.13561209,12.0,3.2707999,1.6725999,9.0925,0.18869999,-0.0056999996,-0.044499997,0.006404,-0.190706,-0.417352,2017-10-19 20:35:33,55.20723505427296
1.934515,1.484405,9.165004,0.009773844,0.030543262,0.0,10.0,2.0007,1.4115,9.495999,-0.0221,0.1021,-0.114999995,0.019347,-0.124346,-0.440485,2017-10-19 20:35:34,35.141069675123205
2.5378537,1.532289,9.097966,-0.08674286,0.13561209,-0.029321533,12.0,2.0616999,1.7055999,9.4345,0.5165,-0.13599999,-0.1236,0.031692,-0.134044,-0.438824,2017-10-19 20:35:35,65.81364600037521
3.6391866,2.480393,8.389283,0.032986723,0.13439035,-0.042760566,12.0,3.5370998,2.7591999,8.7204,0.1836,-0.2235,-0.1322,0.027084,-0.233771,-0.505628,2017-10-19 20:35:36,73.09508356089592
4.098873,3.2465374,9.021352,-0.040317107,0.3286455,-0.24801129,10.0,3.6192,2.5599,8.747399,0.427,0.069,0.1944,0.00428,-0.232349,-0.546935,2017-10-19 20:35:37,73.7069199356106
3.265691,-0.34476504,12.4785795,0.103847094,0.6719518,0.9101892,47.0,3.007,1.2161,9.2546,0.3287,-1.5309,3.4352999,-0.018133,-0.166775,-0.466229,2017-10-19 20:35:38,40.73017152598547
